wordform,sum_freq,norm_freq,log_freq,Moby_pron,Rep_P,Rep_O,sqrt_freq
pork,7686,17.08,0.264840074,p/oU/rk,_/_/p/o/r/k/_/,_/_/p/o/r/k/_/_/,87.66983518
porn,1986,4.413333333,0.154510903,p/oU/rn,_/_/p/o/r/n/_/,_/_/p/o/r/n/_/_/,44.56455991
trend,25918,57.59555556,0.372416479,tr/E/nd,_/t/r/E/n/d/_/,_/t/r/e/n/d/_/_/,160.990683
pore,2359,5.242222222,0.167545309,p/oU/r,_/_/p/o/r/_/_/,_/_/p/o/r/e/_/_/,48.56953778
port,13801,30.66888889,0.316121704,p/oU/rt,_/_/p/o/r/t/_/,_/_/p/o/r/t/_/_/,117.4776575
witch,5146,11.43555556,0.230600997,w/I/tS/,_/_/w/I/C/_/_/,_/_/w/i/t/c/h/_/,71.73562574
boast,7381,16.40222222,0.261344459,b/oU/st,_/_/b/o/s/t/_/,_/_/b/o/a/s/t/_/,85.91274643
prompt,13308,29.57333333,0.312900721,pr/A/mpt,_/p/r/a/m/p/t/,_/p/r/o/m/p/t/_/,115.3603051
prey,6053,13.45111111,0.244343553,pr/eI/,_/p/r/e/_/_/_/,_/p/r/e/y/_/_/_/,77.80102827
prep,7084,15.74222222,0.257807157,pr/E/p,_/p/r/E/p/_/_/,_/p/r/e/p/_/_/_/,84.16650165
fourth,26718,59.37333333,0.375150933,f/oU/r/T/,_/_/f/o/r/T/_/,_/_/f/o/u/r/t/h/,163.4564162
fern,2148,4.773333333,0.160401319,f/@/rn,_/_/f/^/r/n/_/,_/_/f/e/r/n/_/_/,46.34652091
torch,3641,8.091111111,0.201941223,t/O/r/tS/,_/_/t/o/r/C/_/,_/_/t/o/r/c/h/_/,60.34069937
yup,941,2.091111111,0.10324702,/j/@/p,_/_/j/^/p/_/_/,_/_/y/u/p/_/_/_/,30.6757233
turn,262092,582.4266667,0.582679706,t/@/rn,_/_/t/^/r/n/_/,_/_/t/u/r/n/_/_/,511.9492162
yuk,123,0.273333333,0.05,/j/@/k,_/_/j/^/k/_/_/,_/_/y/u/k/_/_/_/,11.09053651
turk,1664,3.697777778,0.141540148,t/@/rk,_/_/t/^/r/k/_/,_/_/t/u/r/k/_/_/,40.79215611
turf,3402,7.56,0.196433924,t/@/rf,_/_/t/^/r/f/_/,_/_/t/u/r/f/_/_/,58.32666629
turd,293,0.651111111,0.05,t/@/rd,_/_/t/^/r/d/_/,_/_/t/u/r/d/_/_/,17.11724277
gin,2242,4.982222222,0.163653031,g/I/n,_/_/J/I/n/_/_/,_/_/g/i/n/_/_/_/,47.34976241
grunt,3854,8.564444444,0.206584732,gr/@/nt,_/g/r/^/n/t/_/,_/g/r/u/n/t/_/_/,62.08059278
ooze,1854,4.12,0.14941405,/u/z,_/_/_/u/z/_/_/,_/_/_/o/o/z/e/_/,43.05810028
sure,152423,338.7177778,0.533202664,/S/U/r,_/_/S/^/r/_/_/,_/_/s/u/r/e/_/_/,390.4138829
cheap,21170,47.04444444,0.35425315,/tS/i/p,_/_/C/i/p/_/_/,_/c/h/e/a/p/_/_/,145.4991409
dirge,164,0.364444444,0.05,d/@/r/dZ/,_/_/d/^/r/J/_/,_/_/d/i/r/g/e/_/,12.80624847
trot,3043,6.762222222,0.187483513,tr/A/t,_/t/r/a/t/_/_/,_/t/r/o/t/_/_/_/,55.16339366
gulf,13039,28.97555556,0.311094205,g/@/lf,_/_/g/^/l/f/_/,_/_/g/u/l/f/_/_/,114.1884407
gull,1226,2.724444444,0.120299204,g/@/l,_/_/g/^/l/_/_/,_/_/g/u/l/l/_/_/,35.0142828
gulp,2439,5.42,0.170114464,g/@/lp,_/_/g/^/l/p/_/,_/_/g/u/l/p/_/_/,49.3862329
deign,260,0.577777778,0.05,d/eI/n,_/_/d/e/n/_/_/,_/_/d/e/i/g/n/_/,16.1245155
lug,1701,3.78,0.143127553,l/@/g,_/_/l/^/g/_/_/,_/_/l/u/g/_/_/_/,41.24318125
case,237329,527.3977778,0.573616044,k/eI/s,_/_/k/e/s/_/_/,_/_/c/a/s/e/_/_/,487.1642434
cash,27564,61.25333333,0.377956374,k/&/S/,_/_/k/@/S/_/_/,_/_/c/a/s/h/_/_/,166.0240946
cask,404,0.897777778,0.058614869,k/&/sk,_/_/k/@/s/k/_/,_/_/c/a/s/k/_/_/,20.09975124
cast,27216,60.48,0.376812759,k/A/st,_/_/k/a/s/t/_/,_/_/c/a/s/t/_/_/,164.972725
