wordform,sum_freq,norm_freq,log_freq,sqrt_freq_raw,sqrt_freq,Moby_pron,Rep_P,Rep_O
"""false""",14992,33.31555556,0.3234648964977909,122.44182292011173,0.00030961944587425344,f/O/ls,_/_/f/a/l/s/_/,_/_/f/a/l/s/e/_/
"""nan""",1276,2.835555556,0.12298863957728356,35.7211421989835,9.032828807899121e-05,n/&/n,_/_/n/a/n/_/_/,_/_/n/a/n/_/_/_/
"""true""",90453,201.00666669999998,0.485645869380641,300.75405234177646,0.0007605187574776109,tr/u/,_/t/r/u/_/_/_/,_/t/r/u/e/_/_/_/
a,10327445,22949.877780000003,0.9186413093247436,1000.0,0.002528706601144508,/eI/,_/_/_/e/_/_/_/,_/_/_/a/_/_/_/_/
abuse,27156,60.34666667,0.3766141306474895,164.79077644091615,0.00041670752419387347,/@/b/ju/z,_/_/_/^/b/j/z/,_/_/_/a/b/u/s/e/
ace,2930,6.511111111,0.18447490587815907,54.12947441089743,0.00013687755925931904,/eI/s,_/_/_/e/s/_/_/,_/_/_/a/c/e/_/_/
ache,1945,4.322222222,0.15295797442713938,44.10215414239989,0.0001115214083045792,/eI/k,_/_/_/e/k/_/_/,_/_/_/a/c/h/e/_/
act,74115,164.7,0.4675201022986775,272.2407023205751,0.0006884168610582552,/&/kt,_/_/_/@/k/t/_/,_/_/_/a/c/t/_/_/
ad,12066,26.81333333,0.3042447984674653,109.8453458276681,0.0002777666510994256,/&/d,_/_/_/@/d/_/_/,_/_/_/a/d/_/_/_/
add,58145,129.2111111,0.44546949191539836,241.13274352522097,0.0006097539603043119,/&/d,_/_/_/@/d/_/_/,_/_/_/a/d/d/_/_/
adze,24,0.053333333,0.05,4.898979485566356,1.2388081764023168e-05,/&/dz,_/_/_/@/d/z/_/,_/_/_/a/d/z/e/_/
aft,1452,3.226666667,0.13187206787461503,38.1051177665153,9.63566628335761e-05,/&/ft,_/_/_/@/f/t/_/,_/_/_/a/f/t/_/_/
age,106190,235.97777779999998,0.5002533640193707,325.86807146451156,0.0008240247434145406,/eI/dZ/,_/_/_/e/J/_/_/,_/_/_/a/g/e/_/_/
ah,11417,25.37111111,0.29937339245862227,106.85036265731624,0.0002701932173862402,/A/,_/_/_/a/_/_/_/,_/_/_/a/h/_/_/_/
aid,29013,64.47333333,0.3825701920935778,170.3320286968954,0.0004307197253521751,/eI/d,_/_/_/e/d/_/_/,_/_/_/a/i/d/_/_/
aide,5754,12.78666667,0.24003727038883732,75.85512507405153,0.00019181535550539635,/eI/d,_/_/_/e/d/_/_/,_/_/_/a/i/d/e/_/
aids,21233,47.18444444,0.35451935556383,145.71547618561317,0.0003684716865194753,/eI/dz,_/_/_/e/d/z/_/,_/_/_/a/i/d/s/_/
ail,361,0.802222222,0.05388831096456966,19.0,4.804542542174565e-05,/eI/l,_/_/_/e/l/_/_/,_/_/_/a/i/l/_/_/
aim,10362,23.02666667,0.2908554186302122,101.79390944452423,0.00025740693076867465,/eI/m,_/_/_/e/m/_/_/,_/_/_/a/i/m/_/_/
air,119460,265.46666669999996,0.5109833327171559,345.62985982116766,0.0008739965080824375,/@/r,_/_/_/^/r/_/_/,_/_/_/a/i/r/_/_/
aisle,5407,12.01555556,0.23477152076729588,73.53230582539895,0.00018594162713806307,/aI/l,_/_/_/Y/l/_/_/,_/_/_/a/i/s/l/e/
ale,1389,3.086666667,0.12879038404181056,37.26929030716845,9.424310041970787e-05,/eI/l,_/_/_/e/l/_/_/,_/_/_/a/l/e/_/_/
all,1227134,2726.964444,0.7237901012451577,1000.0,0.002528706601144508,/O/l,_/_/_/a/l/_/_/,_/_/_/a/l/l/_/_/
alms,290,0.644444444,0.05,17.029386365926403,4.3062321716958374e-05,/A/mz,_/_/_/a/m/z/_/,_/_/_/a/l/m/s/_/
am,116989,259.9755556,0.5090783317182208,342.03654775476843,0.0008649100761401615,/&/m,_/_/_/@/m/_/_/,_/_/_/a/m/_/_/_/
