wordform,sum_freq,norm_freq,log_freq,Moby_pron,Rep_P,Rep_O,sqrt_freq
fawn,321,0.713333333,0.05,f/O/n,_/_/f/a/n/_/_/,_/_/f/a/w/n/_/_/,17.91647287
fawn,163,0.362222222,0.05,f/O/n,_/_/f/a/n/_/_/,_/_/f/a/w/n/_/_/,12.76714533
fawn,43,0.095555556,0.05,f/O/n,_/_/f/a/n/_/_/,_/_/f/a/w/n/_/_/,6.557438524
scold,370,0.822222222,0.054897999,sk/oU/ld,_/s/k/o/l/d/_/,_/s/c/o/l/d/_/_/,19.23538406
scold,35,0.077777778,0.05,sk/oU/ld,_/s/k/o/l/d/_/,_/s/c/o/l/d/_/_/,5.916079783
crotch,1181,2.624444444,0.117809204,kr/A/tS/,_/k/r/a/C/_/_/,_/c/r/o/t/c/h/_/,34.36568055
sooth,33,0.073333333,0.05,s/u/T/,_/_/s/u/T/_/_/,_/_/s/o/o/t/h/_/,5.744562647
crouch,653,1.451111111,0.082022792,kr/AU/tS/,_/k/r/A/C/_/_/,_/c/r/o/u/c/h/_/,25.55386468
crouch,394,0.875555556,0.057537259,kr/AU/tS/,_/k/r/A/C/_/_/,_/c/r/o/u/c/h/_/,19.84943324
stern,2296,5.102222222,0.165470065,st/@/rn,_/s/t/^/r/n/_/,_/s/t/e/r/n/_/_/,47.9165942
copse,145,0.322222222,0.05,k/A/ps,_/_/k/a/p/s/_/,_/_/c/o/p/s/e/_/,12.04159458
wand,1008,2.24,0.107550865,w/A/nd,_/_/w/a/n/d/_/,_/_/w/a/n/d/_/_/,31.74901573
want,375156,833.68,0.615444275,w/A/nt,_/_/w/a/n/t/_/,_/_/w/a/n/t/_/_/,612.4997959
want,950,2.111111111,0.103837056,w/A/nt,_/_/w/a/n/t/_/,_/_/w/a/n/t/_/_/,30.82207001
krait,25,0.055555556,0.05,kr/aI/t,_/k/r/Y/t/_/_/,_/k/r/a/i/t/_/_/,5
wrong,67509,150.02,0.459033066,r/O/N/,_/_/r/a/G/_/_/,_/w/r/o/n/g/_/_/,259.8249411
wrong,8148,18.10666667,0.269893044,r/O/N/,_/_/r/a/G/_/_/,_/w/r/o/n/g/_/_/,90.26627277
wrong,602,1.337777778,0.077691693,r/O/N/,_/_/r/a/G/_/_/,_/w/r/o/n/g/_/_/,24.53568829
wrong,325,0.722222222,0.05,r/O/N/,_/_/r/a/G/_/_/,_/w/r/o/n/g/_/_/,18.02775638
fir,1334,2.964444444,0.12601245,f/@/r,_/_/f/^/r/_/_/,_/_/f/i/r/_/_/_/,36.52396474
fit,21813,48.47333333,0.356934416,f/I/t,_/_/f/I/t/_/_/,_/_/f/i/t/_/_/_/,147.6922476
fit,9801,21.78,0.285980812,f/I/t,_/_/f/I/t/_/_/,_/_/f/i/t/_/_/_/,99
fit,2349,5.22,0.167219032,f/I/t,_/_/f/I/t/_/_/,_/_/f/i/t/_/_/_/,48.46648326
fix,11505,25.56666667,0.300049321,f/I/ks,_/_/f/I/k/s/_/,_/_/f/i/x/_/_/_/,107.261363
fixed,7473,16.60666667,0.262413012,f/I/kst,_/_/f/I/k/s/t/,_/_/f/i/x/e/d/_/,86.44651526
fix,3410,7.577777778,0.196623734,f/I/ks,_/_/f/I/k/s/_/,_/_/f/i/x/_/_/_/,58.39520528
fib,89,0.197777778,0.05,f/I/b,_/_/f/I/b/_/_/,_/_/f/i/b/_/_/_/,9.433981132
fib,36,0.08,0.05,f/I/b,_/_/f/I/b/_/_/,_/_/f/i/b/_/_/_/,6
fig,11479,25.50888889,0.299850134,f/I/g,_/_/f/I/g/_/_/,_/_/f/i/g/_/_/_/,107.1400952
fie,60,0.133333333,0.05,f/aI/,_/_/f/Y/_/_/_/,_/_/f/i/e/_/_/_/,7.745966692
finned,29,0.064444444,0.05,f/I/nd,_/_/f/I/n/d/_/,_/_/f/i/n/n/e/d/,5.385164807
smirk,665,1.477777778,0.083012753,sm/@/rk,_/s/m/^/r/k/_/,_/s/m/i/r/k/_/_/,25.78759392
smirk,124,0.275555556,0.05,sm/@/rk,_/s/m/^/r/k/_/,_/s/m/i/r/k/_/_/,11.13552873
branch,13005,28.9,0.310863312,br/&/n/tS/,_/b/r/@/n/C/_/,_/b/r/a/n/c/h/_/,114.0394669
branch,486,1.08,0.067002881,br/&/n/tS/,_/b/r/@/n/C/_/,_/b/r/a/n/c/h/_/,22.04540769
friend,71975,159.9444444,0.464856,fr/E/nd,_/f/r/E/n/d/_/,_/f/r/i/e/n/d/_/,268.2815685
pomp,400,0.888888889,0.058185347,p/A/mp,_/_/p/a/m/p/_/,_/_/p/o/m/p/_/_/,20
mouth,42258,93.90666667,0.416535209,m/AU/T/,_/_/m/A/T/_/_/,_/_/m/o/u/t/h/_/,205.5675072
mouths,3717,8.26,0.203625235,m/AU/D/z,_/_/m/A/D/z/_/,_/_/m/o/u/t/h/s/,60.9672043
mouth,97,0.215555556,0.05,m/AU/T/,_/_/m/A/T/_/_/,_/_/m/o/u/t/h/_/,9.848857802
tech,13689,30.42,0.31539985,t/E/k,_/_/t/E/k/_/_/,_/_/t/e/c/h/_/_/,117
scream,3748,8.328888889,0.204303332,skr/i/m,s/k/r/i/m/_/_/,s/c/r/e/a/m/_/_/,61.22091146
scream,3043,6.762222222,0.187483513,skr/i/m,s/k/r/i/m/_/_/,s/c/r/e/a/m/_/_/,55.16339366
bliss,1927,4.282222222,0.152267785,bl/I/s,_/b/l/I/s/_/_/,_/b/l/i/s/s/_/_/,43.89760814
rich,35502,78.89333333,0.400780833,r/I/tS/,_/_/r/I/C/_/_/,_/_/r/i/c/h/_/_/,188.4197442
rice,20349,45.22,0.350711292,r/aI/s,_/_/r/Y/s/_/_/,_/_/r/i/c/e/_/_/,142.6499211
plate,19371,43.04666667,0.346304962,pl/eI/t,_/p/l/e/t/_/_/,_/p/l/a/t/e/_/_/,139.1797399
plate,26,0.057777778,0.05,pl/eI/t,_/p/l/e/t/_/_/,_/p/l/a/t/e/_/_/,5.099019514
patch,6761,15.02444444,0.253798292,p/&/tS/,_/_/p/@/C/_/_/,_/_/p/a/t/c/h/_/,82.22530024
patch,611,1.357777778,0.078471056,p/&/tS/,_/_/p/@/C/_/_/,_/_/p/a/t/c/h/_/,24.71841419
loth,89,0.197777778,0.05,l/oU/T/,_/_/l/o/T/_/_/,_/_/l/o/t/h/_/_/,9.433981132
ire,729,1.62,0.088118902,/aI/r,_/_/_/Y/r/_/_/,_/_/_/i/r/e/_/_/,27
veep,118,0.262222222,0.05,v/i/p,_/_/v/i/p/_/_/,_/_/v/e/e/p/_/_/,10.86278049
veer,661,1.468888889,0.082683955,v/i/r,_/_/v/i/r/_/_/,_/_/v/e/e/r/_/_/,25.70992026
