wordform,sum_freq,norm_freq,log_freq,sqrt_freq_raw,sqrt_freq,Moby_pron,Rep_P,Rep_O
mouse,10764,23.92,0.2941953137084997,103.7496987947435,0.00026243380281762934,m/O/s,_/_/m/A/s/_/_/,_/_/m/o/u/s/e/_/
said,2304,5.12,0.16573621182578638,48.0,0.0001214155094576952,s/E/d,_/_/s/E/d/_/_/,_/_/s/a/i/d/_/_/
dots,3085,6.8555555560000005,0.18857700776901995,55.54277630799526,0.000140494885044376,d/A/ts,_/_/d/a/t/s/_/,_/_/d/o/t/s/_/_/
sew,3097,6.882222222,0.18888704932433192,55.65069631190611,0.00014076786759136583,s/Ou/,_/_/s/o/_/_/_/,_/_/s/e/w/_/_/_/
dane,742,1.648888889,0.08912215463203739,27.23967694375247,6.890248444976542e-05,d/eI/n,_/_/d/e/n/_/_/,_/_/d/a/n/e/_/_/
dale,69,0.15333333300000002,0.05,8.306623862918075,2.1011520170617628e-05,d/eI/l,_/_/d/e/l/_/_/,_/_/d/a/l/e/_/_/
mayor,28561,63.46888889,0.3811557718673688,169.0,0.00042748377288230187,m/E/r,_/_/m/E/r/_/_/,_/_/m/a/y/e/r/_/
roust,186,0.41333333299999997,0.05,13.638181696985855,3.449764122533649e-05,r/u/st,_/_/r/A/s/t/_/,_/_/r/o/u/s/t/_/
a,10327445,22949.877780000003,0.9186413093247436,1000.0,0.00252948978036865,/eI/,_/_/_/e/_/_/_/,_/_/_/a/_/_/_/_/
abuse,27156,60.34666667,0.3766141306474895,164.79077644091615,0.0004168365849063123,/@/b/ju/z,_/_/_/^/b/j/z/,_/_/_/a/b/u/s/e/
ace,2930,6.511111111,0.18447490587815907,54.12947441089743,0.0001369199523390914,/eI/s,_/_/_/e/s/_/_/,_/_/_/a/c/e/_/_/
ache,1945,4.322222222,0.15295797442713938,44.10215414239989,0.00011155594819544345,/eI/k,_/_/_/e/k/_/_/,_/_/_/a/c/h/e/_/
act,74115,164.7,0.4675201022986775,272.2407023205751,0.0006886300743202785,/&/kt,_/_/_/@/k/t/_/,_/_/_/a/c/t/_/_/
ad,12066,26.81333333,0.3042447984674653,109.8453458276681,0.00027785267969214657,/&/d,_/_/_/@/d/_/_/,_/_/_/a/d/_/_/_/
add,58145,129.2111111,0.44546949191539836,241.13274352522097,0.0006099428104593013,/&/d,_/_/_/@/d/_/_/,_/_/_/a/d/d/_/_/
adze,24,0.053333333,0.05,4.898979485566356,1.2391918542975763e-05,/&/dz,_/_/_/@/d/z/_/,_/_/_/a/d/z/e/_/
aft,1452,3.226666667,0.13187206787461503,38.1051177665153,9.638650597014433e-05,/&/ft,_/_/_/@/f/t/_/,_/_/_/a/f/t/_/_/
age,106190,235.97777779999998,0.5002533640193707,325.86807146451156,0.000824279956517923,/eI/dZ/,_/_/_/e/J/_/_/,_/_/_/a/g/e/_/_/
ah,11417,25.37111111,0.29937339245862227,106.85036265731624,0.00027027690037036546,/A/,_/_/_/a/_/_/_/,_/_/_/a/h/_/_/_/
aid,29013,64.47333333,0.3825701920935778,170.3320286968954,0.00043085312585825657,/eI/d,_/_/_/e/d/_/_/,_/_/_/a/i/d/_/_/
aide,5754,12.78666667,0.24003727038883732,75.85512507405153,0.0001918747636633991,/eI/d,_/_/_/e/d/_/_/,_/_/_/a/i/d/e/_/
aids,21233,47.18444444,0.35451935556383,145.71547618561317,0.0003685858078530599,/eI/dz,_/_/_/e/d/z/_/,_/_/_/a/i/d/s/_/
ail,361,0.802222222,0.05388831096456966,19.0,4.806030582700435e-05,/eI/l,_/_/_/e/l/_/_/,_/_/_/a/i/l/_/_/
aim,10362,23.02666667,0.2908554186302122,101.79390944452423,0.00025748665364369583,/eI/m,_/_/_/e/m/_/_/,_/_/_/a/i/m/_/_/
air,119460,265.46666669999996,0.5109833327171559,345.62985982116766,0.0008742671982078927,/@/r,_/_/_/^/r/_/_/,_/_/_/a/i/r/_/_/
aisle,5407,12.01555556,0.23477152076729588,73.53230582539895,0.0001859992161122888,/aI/l,_/_/_/Y/l/_/_/,_/_/_/a/i/s/l/e/
ale,1389,3.086666667,0.12879038404181056,37.26929030716845,9.427228895357497e-05,/eI/l,_/_/_/e/l/_/_/,_/_/_/a/l/e/_/_/
all,1227134,2726.964444,0.7237901012451577,1000.0,0.00252948978036865,/O/l,_/_/_/a/l/_/_/,_/_/_/a/l/l/_/_/
alms,290,0.644444444,0.05,17.029386365926403,4.307565877856006e-05,/A/mz,_/_/_/a/m/z/_/,_/_/_/a/l/m/s/_/
am,116989,259.9755556,0.5090783317182208,342.03654775476843,0.0008651779520582605,/&/m,_/_/_/@/m/_/_/,_/_/_/a/m/_/_/_/
amp,358,0.7955555559999999,0.05354925683522798,18.920887928424502,4.786019265045033e-05,/&/mp,_/_/_/@/m/p/_/,_/_/_/a/m/p/_/_/
an,1495549,3323.4422219999997,0.7418815077352408,1000.0,0.00252948978036865,/A/n,_/_/_/a/n/_/_/,_/_/_/a/n/_/_/_/
and,12368293,27485.09556,0.9351388003956438,1000.0,0.00252948978036865,/&/nd,_/_/_/@/n/d/_/,_/_/_/a/n/d/_/_/
ankh,38,0.08444444400000001,0.05,6.164414002968976,1.5592822222471426e-05,/&/N/k,_/_/_/@/G/k/_/,_/_/_/a/n/k/h/_/
ant,1860,4.133333333,0.14965199055058356,43.12771730569565,0.00010909112017538531,/&/nt,_/_/_/@/n/t/_/,_/_/_/a/n/t/_/_/
ape,1690,3.755555556,0.14265849193645547,41.10960958218893,0.00010398633731309203,/eI/p,_/_/_/e/p/_/_/,_/_/_/a/p/e/_/_/
apse,78,0.173333333,0.05,8.831760866327848,2.2339848854036067e-05,/&/ps,_/_/_/@/p/s/_/,_/_/_/a/p/s/e/_/
apt,2948,6.551111111,0.1849608274059073,54.29548784199291,0.00013733988161645136,/&/pt,_/_/_/@/p/t/_/,_/_/_/a/p/t/_/_/
arc,3607,8.015555556,0.20117769579336653,60.05830500438719,0.00015191686873486075,/A/rk,_/_/_/a/r/k/_/,_/_/_/a/r/c/_/_/
arch,3373,7.495555556,0.19574254592890292,58.077534382926416,0.00014690652969062126,/A/r/tS/,_/_/_/a/r/C/_/,_/_/_/a/r/c/h/_/
are,2104334,4676.297778,0.7731172196252094,1000.0,0.00252948978036865,/A/r,_/_/_/a/r/_/_/,_/_/_/a/r/e/_/_/
ark,1139,2.531111111,0.11542242511153114,33.74907406137241,8.53679379351462e-05,/A/rk,_/_/_/a/r/k/_/,_/_/_/a/r/k/_/_/
arm,41801,92.89111111,0.41555095958635885,204.45292856792244,0.0005171615933790015,/A/rm,_/_/_/a/r/m/_/,_/_/_/a/r/m/_/_/
armed,19605,43.56666667,0.34737871233163814,140.017856004154,0.0003541737358316368,/A/rmd,_/_/_/a/r/m/d/,_/_/_/a/r/m/e/d/
arse,187,0.415555556,0.05,13.674794331177344,3.459025250935624e-05,/A/rs,_/_/_/a/r/s/_/,_/_/_/a/r/s/e/_/
art,94867,210.81555559999998,0.4899837893930575,308.00487009136725,0.0007790951711998871,/A/rt,_/_/_/a/r/t/_/,_/_/_/a/r/t/_/_/
as,2747992,6106.648889,0.7975281746582603,1000.0,0.00252948978036865,/&/z,_/_/_/@/z/_/_/,_/_/_/a/s/_/_/_/
ash,3367,7.482222222000001,0.19559884744661077,58.02585630561603,0.00014677581052219553,/&/S/,_/_/_/@/S/_/_/,_/_/_/a/s/h/_/_/
ask,104982,233.2933333,0.49921108862130564,324.00925912695766,0.0008195781097064572,/&/sk,_/_/_/@/s/k/_/,_/_/_/a/s/k/_/_/
ass,7336,16.30222222,0.26081721696287524,85.65045242145543,0.0002166519440840228,/&/s,_/_/_/@/s/_/_/,_/_/_/a/s/s/_/_/
at,2275149,5055.886667,0.7802560716532067,1000.0,0.00252948978036865,/@/t,_/_/_/@/t/_/_/,_/_/_/a/t/_/_/_/
ate,11514,25.58666667,0.3001181691104806,107.30330842988953,0.00027142262207315075,/eI/t,_/_/_/e/t/_/_/,_/_/_/a/t/e/_/_/
aunt,14066,31.25777778,0.31780731630851017,118.6001686339442,0.00029999791450956034,/&/nt,_/_/_/a/n/t/_/,_/_/_/a/u/n/t/_/
aw,1474,3.275555556,0.13292421550422273,38.39270764090493,9.711396161835041e-05,/O/,_/_/_/a/_/_/_/,_/_/_/a/w/_/_/_/
awe,3173,7.051111111,0.19082661674722567,56.32938842203065,0.00014248461234794268,/O/,_/_/_/a/_/_/_/,_/_/_/a/w/e/_/_/
awed,805,1.788888889,0.09383406198911354,28.372521918222215,7.176800423542863e-05,/O/d,_/_/_/a/d/_/_/,_/_/_/a/w/e/d/_/
awl,94,0.208888889,0.05,9.695359714832659,2.452431331566712e-05,/O/l,_/_/_/a/l/_/_/,_/_/_/a/w/l/_/_/
ax,1438,3.1955555560000004,0.1311961639348372,37.92097045171708,9.592070721927991e-05,/&/ks,_/_/_/@/k/s/_/,_/_/_/a/x/_/_/_/
axe,1520,3.377777778,0.13508582014880652,38.98717737923585,9.86176667461969e-05,/&/ks,_/_/_/@/k/s/_/,_/_/_/a/x/e/_/_/
ay,481,1.0688888890000001,0.06651285343277222,21.93171219946131,5.547604187452383e-05,/eI/,_/_/_/e/_/_/_/,_/_/_/a/y/_/_/_/
aye,2031,4.513333333,0.15618553180564676,45.066617356974994,0.00011399554804025267,/eI/,_/_/_/e/_/_/_/,_/_/_/a/y/e/_/_/
babe,3260,7.244444444,0.19299757825607566,57.09640969448079,0.00014442478481793068,b/eI/b,_/_/b/e/b/_/_/,_/_/b/a/b/e/_/_/
back,569485,1265.522222,0.653593091936552,754.6422993710331,0.0019088599840929275,b/&/k,_/_/b/@/k/_/_/,_/_/b/a/c/k/_/_/
backed,10033,22.29555556,0.28802828075474035,100.16486409914407,0.0002533660000907996,b/&/kt,_/_/b/@/k/t/_/,_/_/b/a/c/k/e/d/
bad,99460,221.02222220000002,0.49428936169007,315.37279527568637,0.0007977322626561431,b/&/d,_/_/b/@/d/_/_/,_/_/b/a/d/_/_/_/
bade,316,0.7022222220000001,0.05,17.776388834631177,4.496519388905894e-05,b/&/d,_/_/b/e/d/_/_/,_/_/b/a/d/e/_/_/
badge,2530,5.622222222,0.17295177058103425,50.299105359837164,0.0001272310729693941,b/&/dZ/,_/_/b/@/J/_/_/,_/_/b/a/d/g/e/_/
bag,31866,70.81333333,0.391026174990163,178.51050389262812,0.000451540495284861,b/&/g,_/_/b/@/g/_/_/,_/_/b/a/g/_/_/_/
bah,496,1.102222222,0.06797513298141443,22.271057451320086,5.633441222111723e-05,b/A/,_/_/b/a/_/_/_/,_/_/b/a/h/_/_/_/
baht,129,0.286666667,0.05,11.357816691600547,2.8729481248704057e-05,b/A/t,_/_/b/a/t/_/_/,_/_/b/a/h/t/_/_/
bail,3442,7.648888889,0.1973790568870767,58.66856057549052,0.00014840152440464234,b/eI/l,_/_/b/e/l/_/_/,_/_/b/a/i/l/_/_/
bairn,26,0.057777777999999995,0.05,5.0990195135927845,1.2897917749533274e-05,b/@/rn,_/_/b/E/r/n/_/,_/_/b/a/i/r/n/_/
bait,3786,8.413333332999999,0.20512774950611642,61.53048025166064,0.00015564072097775064,b/eI/t,_/_/b/e/t/_/_/,_/_/b/a/i/t/_/_/
baize,63,0.14,0.05,7.937253933193772,2.007720270820452e-05,b/eI/z,_/_/b/e/z/_/_/,_/_/b/a/i/z/e/_/
bake,8848,19.66222222,0.27705378391401747,94.06380813043877,0.00023793344136850242,b/eI/k,_/_/b/e/k/_/_/,_/_/b/a/k/e/_/_/
bald,3909,8.686666667,0.20774643329445408,62.52199612936234,0.00015814875025747034,b/O/ld,_/_/b/a/l/d/_/,_/_/b/a/l/d/_/_/
bale,858,1.9066666669999999,0.09761834282095518,29.29163703175362,7.409289652208869e-05,b/eI/l,_/_/b/e/l/_/_/,_/_/b/a/l/e/_/_/
balk,452,1.004444444,0.0636177375322017,21.2602916254693,5.3777690394281786e-05,b/O/k,_/_/b/a/k/_/_/,_/_/b/a/l/k/_/_/
ball,40464,89.92,0.41260909679875796,201.15665537088253,0.0005088237040137859,b/O/l,_/_/b/a/l/_/_/,_/_/b/a/l/l/_/_/
balm,884,1.964444444,0.09941907335095922,29.732137494637012,7.520713794119989e-05,b/A/m,_/_/b/a/m/_/_/,_/_/b/a/l/m/_/_/
ban,11137,24.74888889,0.297188872983207,105.53198567259123,0.0002669420792608303,b/A/n,_/_/b/a/n/_/_/,_/_/b/a/n/_/_/_/
banc,100,0.222222222,0.05,10.0,2.52948978036865e-05,b/&/N/k,_/_/b/@/G/k/_/,_/_/b/a/n/c/_/_/
band,28535,63.41111111,0.3810737424681072,168.92305940871424,0.000427289152442949,b/&/nd,_/_/b/@/n/d/_/,_/_/b/a/n/d/_/_/
bane,546,1.213333333,0.07268719445455822,23.366642891095847,5.9105684394550713e-05,b/eI/n,_/_/b/e/n/_/_/,_/_/b/a/n/e/_/_/
bang,4936,10.96888889,0.2271016661480296,70.25667228100119,0.0001777135345375019,b/&/N/,_/_/b/@/G/_/_/,_/_/b/a/n/g/_/_/
bangs,1716,3.813333333,0.1437633303690246,41.42463035441596,0.00010478317913704414,b/&/N/z,_/_/b/@/G/z/_/,_/_/b/a/n/g/s/_/
bank,46389,103.0866667,0.4249822909115695,215.3810576629245,0.0005448041842433584,b/&/N/k,_/_/b/@/G/k/_/,_/_/b/a/n/k/_/_/
banks,23894,53.09777778,0.36510972122394875,154.57684173251826,0.00039100054144406717,b/&/N/ks,_/_/b/@/G/k/s/,_/_/b/a/n/k/s/_/
banns,19,0.042222222000000004,0.05,4.358898943540674,1.102579033134584e-05,b/&/nz,_/_/b/@/n/z/_/,_/_/b/a/n/n/s/_/
bans,1207,2.682222222,0.11925612505255652,34.741905532080416,8.787929499393048e-05,b/&/nz,_/_/b/@/n/z/_/,_/_/b/a/n/s/_/_/
bar,35898,79.77333333,0.4017830350029716,189.46767534331548,0.0004792565484911218,b/A/r,_/_/b/a/r/_/_/,_/_/b/a/r/_/_/_/
barb,87,0.193333333,0.05,9.327379053088816,2.3593509992412775e-05,b/A/rb,_/_/b/a/r/b/_/,_/_/b/a/r/b/_/_/
barbed,1340,2.977777778,0.12631962902810134,36.60601043544625,9.259452929652945e-05,b/A/rbd,_/_/b/a/r/b/d/,_/_/b/a/r/b/e/d/
