wordform,sum_freq,norm_freq,log_freq,sqrt_freq_raw,sqrt_freq,Moby_pron,Rep_P,Rep_O
bike,21996,48.88,0.35768336605432977,148.3104851316993,0.00035380542798597094,b/aI/k,_/_/b/Y/k/_/_/,_/_/b/i/k/e/_/_/
daze,1176,2.613333333,0.11752830743333913,34.292856398964496,8.180809822261055e-05,d/eI/z,_/_/d/e/z/_/_/,_/_/d/a/z/e/_/_/
whack,2147,4.771111111000001,0.16036609729869863,46.33573135281238,0.00011053725060481786,w/&/k,_/_/w/@/k/_/_/,_/w/h/a/c/k/_/_/
pique,813,1.8066666669999998,0.09441540158760547,28.513154858766505,6.802020065592759e-05,p/i/k,_/_/p/i/k/_/_/,_/_/p/i/q/u/e/_/
pinch,5670,12.6,0.23879009219720032,75.2994023880668,0.00017963219030225937,p/I/n/tS/,_/_/p/I/n/C/_/,_/_/p/i/n/c/h/_/
chew,7387,16.41555556,0.26141452930694725,85.94765849050223,0.00020503437818048624,/tS/u/,_/_/C/u/_/_/_/,_/c/h/e/w/_/_/_/
speck,1614,3.586666667,0.13935028718086695,40.17461885320133,9.583946950822906e-05,sp/E/k,_/s/p/E/k/_/_/,_/s/p/e/c/k/_/_/
horn,9170,20.37777778,0.28016848788517834,95.7601169589929,0.0002284427101332544,h/O/rn,_/_/h/o/r/n/_/,_/_/h/o/r/n/_/_/
frank,2411,5.357777778,0.16922344328068126,49.10193478876367,0.00011713622969711823,fr/A/nk,_/f/r/a/n/k/_/,_/f/r/a/n/k/_/_/
crunch,5059,11.24222222,0.22916747675026852,71.12664760833313,0.00016967778087926283,kr/@/n/tS/,_/k/r/^/n/C/_/,_/c/r/u/n/c/h/_/
gloss,2069,4.597777778,0.15757617634699542,45.48626166217664,0.00010851077899568244,gl/A/s,_/g/l/a/s/_/_/,_/g/l/o/s/s/_/_/
farce,880,1.955555556,0.09914433440216398,29.664793948382652,7.076751930049405e-05,f/A/rs,_/_/f/a/r/s/_/,_/_/f/a/r/c/e/_/
beach,38453,85.45111111,0.40799801559961296,196.0943650388761,0.00046779734208682685,b/i/tS/,_/_/b/i/C/_/_/,_/_/b/e/a/c/h/_/
scull,267,0.593333333,0.05,16.34013463836819,3.89805772932543e-05,sk/@/l,_/s/k/^/l/_/_/,_/s/c/u/l/l/_/_/
haste,1093,2.428888889,0.11273484458239283,33.06055050963308,7.886834307180398e-05,h/eI/st,_/_/h/e/s/t/_/,_/_/h/a/s/t/e/_/
south,69638,154.7511111,0.46185519828140476,263.89012865205854,0.000629529057410243,s/AU/T/,_/_/s/A/T/_/_/,_/_/s/o/u/t/h/_/
bane,588,1.306666667,0.07646599752505737,24.24871130596428,5.7847061009183054e-05,b/eI/n,_/_/b/e/n/_/_/,_/_/b/a/n/e/_/_/
band,36748,81.66222222,0.40389785488585,191.69767865052515,0.00045730872755651056,b/&/nd,_/_/b/@/n/d/_/,_/_/b/a/n/d/_/_/
bang,10189,22.64222222,0.2893797047536577,100.94057657849989,0.00024080107259977942,b/&/N/,_/_/b/@/G/_/_/,_/_/b/a/n/g/_/_/
banc,100,0.222222222,0.05,10.0,2.3855725889628958e-05,b/&/N/k,_/_/b/@/G/k/_/,_/_/b/a/n/c/_/_/
crock,495,1.1,0.06787837146927442,22.24859546128699,5.307563947537054e-05,kr/A/k,_/k/r/a/k/_/_/,_/c/r/o/c/k/_/_/
good,674868,1499.706667,0.6691150733118222,821.5034996882241,0.001959756230593316,g/U/d,_/_/g/U/d/_/_/,_/_/g/o/o/d/_/_/
loge,33,0.073333333,0.05,5.744562646538029,1.370407118516127e-05,l/oU/Z/,_/_/l/o/B/_/_/,_/_/l/o/g/e/_/_/
webbed,307,0.682222222,0.05,17.52141546793523,4.179860846013678e-05,w/E/bd,_/_/w/E/b/d/_/,_/_/w/e/b/b/e/d/
hooked,227,0.504444444,0.05,15.066519173319364,3.594227515095459e-05,h/U/kt,_/_/h/U/k/t/_/,_/_/h/o/o/k/e/d/
thick,26379,58.62,0.3740021709683926,162.41613220366997,0.00038745547299044893,/T/I/k,_/_/T/I/k/_/_/,_/t/h/i/c/k/_/_/
realm,8113,18.02888889,0.2695198627210755,90.07219326740079,0.00021487375528647963,r/E/lm,_/_/r/E/l/m/_/,_/_/r/e/a/l/m/_/
quaint,1588,3.5288888889999996,0.1381905016453666,39.84971769034255,9.506439419999099e-05,kw/eI/nt,_/k/w/e/n/t/_/,_/_/q/u/a/i/n/t/
oomph,286,0.635555556,0.05,16.911534525287763,4.034369320082613e-05,/U/mf,_/_/_/U/m/f/_/,_/_/_/o/o/m/p/h/
brat,984,2.186666667,0.10603235690602632,31.368774282716245,7.48324880782121e-05,br/&/t,_/b/r/@/t/_/_/,_/b/r/a/t/_/_/_/
bray,359,0.7977777779999999,0.05366241455055471,18.947295321496416,4.520014835394677e-05,br/eI/,_/b/r/e/_/_/_/,_/b/r/a/y/_/_/_/
brag,2801,6.2244444439999995,0.18091482669033754,52.92447448959697,0.00012625517562764858,br/&/g,_/b/r/@/g/_/_/,_/b/r/a/g/_/_/_/
brad,50,0.111111111,0.05,7.0710678118654755,1.6868545546684123e-05,br/&/d,_/b/r/@/d/_/_/,_/b/r/a/d/_/_/_/
bran,971,2.1577777780000003,0.10519918537619334,31.160872901765767,7.433652424260911e-05,br/&/n,_/b/r/@/n/_/_/,_/b/r/a/n/_/_/_/
warmth,6255,13.9,0.247142162593646,79.0885579587844,0.00018867149596707937,w/O/rm/T/,_/_/w/o/r/m/T/,_/_/w/a/r/m/t/h/
baud,67,0.148888889,0.05,8.18535277187245,1.9526753203570378e-05,b/O/d,_/_/b/a/d/_/_/,_/_/b/a/u/d/_/_/
fest,1059,2.353333333,0.11069636420260516,32.54228019054596,7.763197160491668e-05,f/E/st,_/_/f/E/s/t/_/,_/_/f/e/s/t/_/_/
fess,262,0.5822222220000001,0.05,16.186414056238647,3.8613865686166636e-05,f/E/s,_/_/f/E/s/_/_/,_/_/f/e/s/s/_/_/
aim,30452,67.67111111,0.3869328589734358,174.5050142546053,0.00041629437864236583,/eI/m,_/_/_/e/m/_/_/,_/_/_/a/i/m/_/_/
ail,678,1.506666667,0.08407325928209174,26.038433132583073,6.211657234063345e-05,/eI/l,_/_/_/e/l/_/_/,_/_/_/a/i/l/_/_/
aid,32162,71.47111111,0.39186034942232373,179.3376703316958,0.00042782303051175786,/eI/d,_/_/_/e/d/_/_/,_/_/_/a/i/d/_/_/
kale,864,1.92,0.09803705297080878,29.393876913398138,7.012122704795189e-05,k/eI/l,_/_/k/e/l/_/_/,_/_/k/a/l/e/_/_/
board,71490,158.8666667,0.4642412827323378,267.3761395487638,0.000637845189450249,b/oU/rd,_/_/b/o/r/d/_/,_/_/b/o/a/r/d/_/
posh,1006,2.235555556,0.10742528085915486,31.71750305430741,7.566440587670269e-05,p/A/S/,_/_/p/a/S/_/_/,_/_/p/o/s/h/_/_/
pose,20358,45.24,0.35075087154429835,142.68146340712937,0.0003403769880571603,p/oU/z,_/_/p/o/z/_/_/,_/_/p/o/s/e/_/_/
phew,153,0.34,0.05,12.36931687685298,2.9507903285616607e-05,f/j/u/,_/_/f/W/_/_/_/,_/p/h/e/w/_/_/_/
khan,19,0.042222222000000004,0.05,4.358898943540674,1.0398469837769958e-05,k/A/n,_/_/k/a/n/_/_/,_/k/h/a/n/_/_/_/
post,48183,107.07333329999999,0.4284209705187692,219.50626414751812,0.0005236481268559682,p/oU/st,_/_/p/o/s/t/_/,_/_/p/o/s/t/_/_/
chafe,656,1.457777778,0.08227128855667874,25.612496949731394,6.1100470658175e-05,/tS/eI/f,_/_/C/e/f/_/_/,_/c/h/a/f/e/_/_/
chaff,224,0.49777777799999995,0.05,14.966629547095765,3.570398119671382e-05,/tS/&/f,_/_/C/@/f/_/_/,_/c/h/a/f/f/_/_/
nonce,28,0.062222222,0.05,5.291502622129181,1.2623263609776664e-05,n/A/ns,_/_/n/a/n/s/_/,_/_/n/o/n/c/e/_/
float,13203,29.34,0.3121998138089236,114.90430801323335,0.0002741125675501191,fl/oU/t,_/f/l/o/t/_/_/,_/f/l/o/a/t/_/_/
bound,5146,11.43555556,0.23060099679000243,71.73562573784382,0.00017113054241230143,b/AU/nd,_/_/b/A/n/d/_/,_/_/b/o/u/n/d/_/
wan,5966,13.25777778,0.2431113247314097,77.23988606931007,0.00018426135498156315,w/A/n,_/_/w/a/n/_/_/,_/_/w/a/n/_/_/_/
wag,1609,3.5755555560000003,0.13912839037206065,40.11234224026316,9.569090412747032e-05,w/&/g,_/_/w/@/g/_/_/,_/_/w/a/g/_/_/_/
wad,1590,3.5333333330000003,0.13828023976065126,39.87480407475377,9.512423959099858e-05,w/A/d,_/_/w/a/d/_/_/,_/_/w/a/d/_/_/_/
way,552736,1228.302222,0.6508641850868523,743.4621711963562,0.001773582976536867,w/eI/,_/_/w/e/_/_/_/,_/_/w/a/y/_/_/_/
wax,4856,10.79111111,0.22573257196432447,69.68500556073738,0.00016623863912742208,w/&/ks,_/_/w/@/k/s/_/,_/_/w/a/x/_/_/_/
war,190948,424.3288888999999,0.5537643676773925,436.9759718794616,0.001042437900551065,w/A/r,_/_/w/o/r/_/_/,_/_/w/a/r/_/_/_/
"""true""",91364,203.0311111,0.486558168359072,302.264784584642,0.0007210745847138964,tr/u/,_/t/r/u/_/_/_/,_/t/r/u/e/_/_/_/
ump,168,0.373333333,0.05,12.96148139681572,3.092055473259609e-05,/@/mp,_/_/_/^/m/p/_/,_/_/_/u/m/p/_/_/
tush,17,0.037777778,0.05,4.123105625617661,9.835967761872204e-06,t/U/S/,_/_/t/U/S/_/_/,_/_/t/u/s/h/_/_/
tusk,763,1.695555556,0.09071990686586463,27.622454633866266,6.589537061442248e-05,t/@/sk,_/_/t/^/s/k/_/,_/_/t/u/s/k/_/_/
grump,74,0.164444444,0.05,8.602325267042627,2.0521471358399814e-05,gr/@/mp,_/g/r/^/m/p/_/,_/g/r/u/m/p/_/_/
curse,8351,18.55777778,0.27202798414695256,91.38380600522173,0.00021800270268115983,k/@/rs,_/_/k/^/r/s/_/,_/_/c/u/r/s/e/_/
prove,50648,112.5511111,0.43294441632051434,225.05110530721683,0.0005368757479366986,pr/u/v,_/p/r/u/v/_/_/,_/p/r/o/v/e/_/_/
cay,36,0.08,0.05,6.0,1.4313435533777375e-05,k/eI/,_/_/k/e/_/_/_/,_/_/c/a/y/_/_/_/
car,150547,334.5488889,0.5320730123235593,388.0038659601216,0.0009256113870460996,k/A/r,_/_/k/a/r/_/_/,_/_/c/a/r/_/_/_/
cap,19368,43.04,0.3462911135083732,139.16896205691842,0.00033199766111740187,k/&/p,_/_/k/@/p/_/_/,_/_/c/a/p/_/_/_/
caw,286,0.635555556,0.05,16.911534525287763,4.034369320082613e-05,k/O/,_/_/k/a/_/_/_/,_/_/c/a/w/_/_/_/
cat,24919,55.37555556,0.3688829194834317,157.85753070411306,0.0003765805982091008,k/&/t,_/_/k/@/t/_/_/,_/_/c/a/t/_/_/_/
can,1179517,2621.148889,0.7201706948540667,1000.0,0.002385572588962896,k/&/n,_/_/k/@/n/_/_/,_/_/c/a/n/_/_/_/
cam,952,2.115555556,0.10396765974030488,30.854497241083024,7.360564286455896e-05,k/&/m,_/_/k/@/m/_/_/,_/_/c/a/m/_/_/_/
cab,7422,16.49333333,0.2618222045682893,86.15103017375938,0.00020551953609343574,k/&/b,_/_/k/@/b/_/_/,_/_/c/a/b/_/_/_/
cad,1479,3.286666667,0.1331616618078205,38.45776904605882,9.174379966894366e-05,k/&/d,_/_/k/@/d/_/_/,_/_/c/a/d/_/_/_/
cloche,104,0.231111111,0.05,10.198039027185569,2.432816236442773e-05,kl/oU/S/,_/k/l/o/S/_/_/,_/c/l/o/c/h/e/_/
flank,4667,10.37111111,0.22241430860876477,68.31544481301428,0.0001629714525487343,fl/&/N/k,_/f/l/@/G/k/_/,_/f/l/a/n/k/_/_/
forme,119,0.264444444,0.05,10.908712114635714,2.6023524601562428e-05,f/O/rm,_/_/f/o/r/m/_/,_/_/f/o/r/m/e/_/
rake,3264,7.253333333,0.19309616448489564,57.1314274283428,0.00013629116724137754,r/eI/k,_/_/r/e/k/_/_/,_/_/r/a/k/e/_/_/
kerf,25,0.055555556,0.05,5.0,1.1927862944814479e-05,k/@/rf,_/_/k/^/r/f/_/,_/_/k/e/r/f/_/_/
kerb,42,0.093333333,0.05,6.48074069840786,1.5460277366298045e-05,k/@/rb,_/_/k/^/r/b/_/,_/_/k/e/r/b/_/_/
carp,997,2.215555556,0.10685800925666893,31.575306807693888,7.532518640852806e-05,k/A/rp,_/_/k/a/r/p/_/,_/_/c/a/r/p/_/_/
cart,8541,18.98,0.27398205144618976,92.41753080449618,0.00022046872822684013,k/A/rt,_/_/k/a/r/t/_/,_/_/c/a/r/t/_/_/
carb,2526,5.613333333,0.17282888538929975,50.25932749251625,0.00011989727400585604,k/A/rb,_/_/k/a/r/b/_/,_/_/c/a/r/b/_/_/
card,50391,111.98,0.43248311165757874,224.47939771836525,0.0005355118979838322,k/A/rd,_/_/k/a/r/d/_/,_/_/c/a/r/d/_/_/
care,155544,345.6533333,0.5350516401527724,394.39066926082313,0.000940847569931351,k/@/r,_/_/k/E/r/_/_/,_/_/c/a/r/e/_/_/
drove,820,1.822222222,0.09492106102686966,28.635642126552707,6.831240292445531e-05,dr/oU/v,_/d/r/o/v/_/_/,_/d/r/o/v/e/_/_/
creche,149,0.331111111,0.05,12.206555615733702,2.9119624482545424e-05,kr/E/S/,_/k/r/E/S/_/_/,_/c/r/e/c/h/e/_/
checked,480,1.066666667,0.06641453208941822,21.908902300206645,5.2265276781639114e-05,/tS/E/kt,_/_/C/E/k/t/_/,_/c/h/e/c/k/e/d/
yin,290,0.644444444,0.05,17.029386365926403,4.062483732141249e-05,/j/I/n,_/_/j/I/n/_/_/,_/_/y/i/n/_/_/_/
yip,443,0.9844444440000001,0.06270030132800711,21.047565179849187,5.0210494557458126e-05,/j/I/p,_/_/j/I/p/_/_/,_/_/y/i/p/_/_/_/
quay,307,0.682222222,0.05,17.52141546793523,4.179860846013678e-05,k/i/,_/_/k/i/_/_/_/,_/_/q/u/a/y/_/_/
quad,1566,3.48,0.13719752878375252,39.57271787481876,9.440359103292965e-05,kw/A/d,_/k/w/a/d/_/_/,_/_/q/u/a/d/_/_/
slay,1232,2.7377777780000003,0.12062614183477008,35.09985754956849,8.373325804675294e-05,sl/eI/,_/s/l/e/_/_/_/,_/s/l/a/y/_/_/_/
slav,303,0.673333333,0.05,17.406895185529212,4.152541201354869e-05,sl/A/v,_/s/l/a/v/_/_/,_/s/l/a/v/_/_/_/
slaw,444,0.986666667,0.06280269422326985,21.071307505705477,5.0267133599219115e-05,sl/O/,_/s/l/a/_/_/_/,_/s/l/a/w/_/_/_/
slat,770,1.711111111,0.09124634978947502,27.748873851023216,6.619695283359026e-05,sl/&/t,_/s/l/@/t/_/_/,_/s/l/a/t/_/_/_/
slap,10006,22.23555556,0.28779234039007345,100.02999550134949,0.00023862881534210113,sl/&/p,_/s/l/@/p/_/_/,_/s/l/a/p/_/_/_/
slam,12607,28.01555556,0.3081162566110816,112.28089775202191,0.0002678542319413691,sl/&/m,_/s/l/@/m/_/_/,_/s/l/a/m/_/_/_/
slag,295,0.655555556,0.05,17.175564037317667,4.0973554767401914e-05,sl/&/g,_/s/l/@/g/_/_/,_/s/l/a/g/_/_/_/
slab,2877,6.393333332999999,0.18302896417849088,53.637673327615545,0.00012795656322610587,sl/&/b,_/s/l/@/b/_/_/,_/s/l/a/b/_/_/_/
prick,1658,3.684444444,0.1412801154083092,40.718546143004666,9.713704754117278e-05,pr/i/k,_/p/r/I/k/_/_/,_/p/r/i/c/k/_/_/
price,98878,219.7288889,0.4937548635310899,314.44872395988506,0.000750140256513062,pr/aI/s,_/p/r/Y/s/_/_/,_/p/r/i/c/e/_/_/
fifth,15165,33.7,0.32448415716776446,123.14625451064275,0.0002937743291940377,f/I/f/T/,_/_/f/I/f/T/_/,_/_/f/i/f/t/h/_/
jolt,2659,5.908888889,0.17682883398614568,51.56549233741495,0.00012301322505651335,/dZ/oU/lt,_/_/J/o/l/t/_/,_/_/j/o/l/t/_/_/
loath,581,1.291111111,0.07584693659300008,24.1039415863879,5.75017023344498e-05,l/oU/T/,_/_/l/o/T/_/_/,_/_/l/o/a/t/h/_/
spore,1623,3.606666667,0.13974835021785598,40.28647415696737,9.610630845482346e-05,sp/oU/r,_/s/p/o/r/_/_/,_/s/p/o/r/e/_/_/
sport,69489,154.42,0.4616604969990915,263.60766301456414,0.0006288552151281124,sp/oU/rt,_/s/p/o/r/t/_/,_/s/p/o/r/t/_/_/
blame,27827,61.83777778,0.37881127129294295,166.81426797489476,0.00039794754512881996,bl/eI/m,_/b/l/e/m/_/_/,_/b/l/a/m/e/_/_/
monk,4371,9.713333333,0.21696281671438586,66.11353870426238,0.00015771864569222584,m/@/N/k,_/_/m/^/G/k/_/,_/_/m/o/n/k/_/_/
rube,58,0.128888889,0.05,7.615773105863909,1.816797956510976e-05,r/u/b,_/_/r/u/b/_/_/,_/_/r/u/b/e/_/_/
these,586061,1302.3577779999998,0.6562159712521961,765.5462102316228,0.0018262660547129859,/D/i/z,_/_/D/i/z/_/_/,_/t/h/e/s/e/_/_/
