wordform,sum_freq,norm_freq,log_freq,Moby_pron,Rep_P,Rep_O,sqrt_freq
fawn,527.0,1.1711111111111112,0.07092507998929332,f/O/n,_/_/f/a/n/_/_/,_/_/f/a/w/n/_/_/,22.956480566497994
scold,405.0,0.9,0.05872193497754002,sk/oU/ld,_/s/k/o/l/d/_/,_/s/c/o/l/d/_/_/,20.12461179749811
crotch,1181.0,2.6244444444444444,0.11780920422475152,kr/A/tS/,_/k/r/a/C/_/_/,_/c/r/o/t/c/h/_/,34.36568055487916
sooth,33.0,0.07333333333333333,0.05,s/u/T/,_/_/s/u/T/_/_/,_/_/s/o/o/t/h/_/,5.744562646538029
crouch,1047.0,2.3266666666666667,0.10996591713514133,kr/AU/tS/,_/k/r/A/C/_/_/,_/c/r/o/u/c/h/_/,32.357379374726875
stern,2296.0,5.102222222222222,0.16547006469890738,st/@/rn,_/s/t/^/r/n/_/,_/s/t/e/r/n/_/_/,47.916594202843754
copse,145.0,0.32222222222222224,0.05,k/A/ps,_/_/k/a/p/s/_/,_/_/c/o/p/s/e/_/,12.041594578792296
wand,1008.0,2.24,0.10755086495737673,w/A/nd,_/_/w/a/n/d/_/,_/_/w/a/n/d/_/_/,31.74901573277509
want,376106.0,835.7911111111111,0.615675378793836,w/A/nt,_/_/w/a/n/t/_/,_/_/w/a/n/t/_/_/,613.2748160490531
krait,25.0,0.05555555555555555,0.05,kr/aI/t,_/k/r/Y/t/_/_/,_/k/r/a/i/t/_/_/,5.0
wrong,76584.0,170.18666666666667,0.4705003841257242,r/O/N/,_/_/r/a/G/_/_/,_/w/r/o/n/g/_/_/,276.73814337745347
fir,1334.0,2.9644444444444447,0.12601245018820903,f/@/r,_/_/f/^/r/_/_/,_/_/f/i/r/_/_/_/,36.52396473549935
fit,33963.0,75.47333333333333,0.39677820335753156,f/I/t,_/_/f/I/t/_/_/,_/_/f/i/t/_/_/_/,184.29053149850102
fix,14915.0,33.144444444444446,0.32300755942189235,f/I/ks,_/_/f/I/k/s/_/,_/_/f/i/x/_/_/_/,122.12698309546502
fixed,14308.0,31.795555555555556,0.3193199625320133,f/I/kst,_/_/f/I/k/s/t/,_/_/f/i/x/e/d/_/,119.61605243444544
fib,125.0,0.2777777777777778,0.05,f/I/b,_/_/f/I/b/_/_/,_/_/f/i/b/_/_/_/,11.180339887498949
fig,11479.0,25.50888888888889,0.2998501338876582,f/I/g,_/_/f/I/g/_/_/,_/_/f/i/g/_/_/_/,107.14009520249644
fie,60.0,0.13333333333333333,0.05,f/aI/,_/_/f/Y/_/_/_/,_/_/f/i/e/_/_/_/,7.745966692414834
finned,64.0,0.14222222222222222,0.05,f/I/nd,_/_/f/I/n/d/_/,_/_/f/i/n/n/e/d/,8.0
smirk,789.0,1.7533333333333334,0.09266018207517113,sm/@/rk,_/s/m/^/r/k/_/,_/s/m/i/r/k/_/_/,28.089143810376278
branch,13491.0,29.98,0.31410961331427517,br/&/n/tS/,_/b/r/@/n/C/_/,_/b/r/a/n/c/h/_/,116.15076409563564
friend,71975.0,159.94444444444446,0.4648560002964965,fr/E/nd,_/f/r/E/n/d/_/,_/f/r/i/e/n/d/_/,268.28156850592626
pomp,400.0,0.8888888888888888,0.058185346868409656,p/A/mp,_/_/p/a/m/p/_/,_/_/p/o/m/p/_/_/,20.0
mouth,42355.0,94.12222222222222,0.41674276438639707,m/AU/T/,_/_/m/A/T/_/_/,_/_/m/o/u/t/h/_/,205.80330415229002
mouths,3717.0,8.26,0.2036252350265336,m/AU/D/z,_/_/m/A/D/z/_/,_/_/m/o/u/t/h/s/,60.96720429870473
tech,13689.0,30.42,0.3153998502288277,t/E/k,_/_/t/E/k/_/_/,_/_/t/e/c/h/_/_/,117.0
scream,6791.0,15.091111111111111,0.25417812137263046,skr/i/m,s/k/r/i/m/_/_/,s/c/r/e/a/m/_/_/,82.40752392834042
bliss,1927.0,4.282222222222222,0.15226778499407165,bl/I/s,_/b/l/I/s/_/_/,_/b/l/i/s/s/_/_/,43.89760813529594
rich,35502.0,78.89333333333333,0.4007808326723331,r/I/tS/,_/_/r/I/C/_/_/,_/_/r/i/c/h/_/_/,188.41974418834135
rice,20349.0,45.22,0.35071129204537077,r/aI/s,_/_/r/Y/s/_/_/,_/_/r/i/c/e/_/_/,142.64992113562488
plate,19397.0,43.10444444444445,0.3464248915380074,pl/eI/t,_/p/l/e/t/_/_/,_/p/l/a/t/e/_/_/,139.27311298308803
patch,7372.0,16.38222222222222,0.2612392536497903,p/&/tS/,_/_/p/@/C/_/_/,_/_/p/a/t/c/h/_/,85.86035173466273
loth,89.0,0.19777777777777777,0.05,l/oU/T/,_/_/l/o/T/_/_/,_/_/l/o/t/h/_/_/,9.433981132056603
ire,729.0,1.62,0.08811890194758697,/aI/r,_/_/_/Y/r/_/_/,_/_/_/i/r/e/_/_/,27.0
veep,118.0,0.26222222222222225,0.05,v/i/p,_/_/v/i/p/_/_/,_/_/v/e/e/p/_/_/,10.862780491200215
veer,661.0,1.468888888888889,0.08268395505927177,v/i/r,_/_/v/i/r/_/_/,_/_/v/e/e/r/_/_/,25.709920264364882
basque,910.0,2.022222222222222,0.10118504376260745,b/&/sk,_/_/b/@/s/k/_/,_/_/b/a/s/q/u/e/,30.166206257996713
blonde,4040.0,8.977777777777778,0.2104553958848114,bl/A/nd,_/b/l/a/n/d/_/,_/b/l/o/n/d/e/_/,63.56099432828282
fro,573.0,1.2733333333333334,0.07513427079049809,fr/oU/,_/f/r/o/_/_/_/,_/f/r/o/_/_/_/_/,23.93741840717165
muck,1015.0,2.2555555555555555,0.10798905674436894,m/@/k,_/_/m/^/k/_/_/,_/_/m/u/c/k/_/_/,31.85906464414798
much,425055.0,944.5666666666667,0.6268561216092717,m/@/tS/,_/_/m/^/C/_/_/,_/_/m/u/c/h/_/_/,651.9624222299933
chink,321.0,0.7133333333333334,0.05,/tS/I/N/k,_/_/C/I/G/k/_/,_/c/h/i/n/k/_/_/,17.916472867168917
fries,2858.0,6.351111111111111,0.18250499223145836,fr/aI/z,_/f/r/Y/z/_/_/,_/f/r/i/e/s/_/_/,53.46026561849464
fry,1893.0,4.206666666666667,0.15094971458939574,fr/aI/,_/f/r/Y/_/_/_/,_/f/r/y/_/_/_/_/,43.508619835614184
fried,5676.0,12.613333333333333,0.2388797423859949,fr/aI/d,_/f/r/Y/d/_/_/,_/f/r/i/e/d/_/_/,75.33923280734945
spit,3747.0,8.326666666666666,0.20428153633702445,sp/I/t,_/s/p/I/t/_/_/,_/s/p/i/t/_/_/_/,61.212743771211564
spat,1798.0,3.9955555555555557,0.14716291354025013,sp/&/t,_/s/p/@/t/_/_/,_/s/p/a/t/_/_/_/,42.40283009422838
barque,32.0,0.07111111111111111,0.05,b/A/rk,_/_/b/a/r/k/_/,_/_/b/a/r/q/u/e/,5.656854249492381
spic,69.0,0.15333333333333332,0.05,sp/I/k,_/s/p/I/k/_/_/,_/s/p/i/c/_/_/_/,8.306623862918075
spin,8311.0,18.468888888888888,0.27161122901277795,sp/I/n,_/s/p/I/n/_/_/,_/s/p/i/n/_/_/_/,91.16468614545876
spun,4309.0,9.575555555555555,0.21577861299356688,sp/@/n,_/s/p/^/n/_/_/,_/s/p/u/n/_/_/_/,65.64297372910524
hone,674.0,1.4977777777777779,0.08374825711519898,h/oU/n,_/_/h/o/n/_/_/,_/_/h/o/n/e/_/_/,25.96150997149434
honk,345.0,0.7666666666666667,0.05206532642031927,h/A/N/k,_/_/h/a/G/k/_/,_/_/h/o/n/k/_/_/,18.57417562100671
split,15666.0,34.81333333333333,0.3273734012858744,spl/I/t,s/p/l/I/t/_/_/,s/p/l/i/t/_/_/_/,125.16389255691915
boiled,2440.0,5.4222222222222225,0.17014612621550768,b/Oi/ld,_/_/b/O/l/d/_/,_/_/b/o/i/l/e/d/,49.39635614091387
plaque,2257.0,5.015555555555555,0.1641613930532071,pl/&/k,_/p/l/@/k/_/_/,_/p/l/a/q/u/e/_/,47.50789408087881
hah,612.0,1.36,0.07855724308458509,h/A/,_/_/h/a/_/_/_/,_/_/h/a/h/_/_/_/,24.73863375370596
ham,3789.0,8.42,0.2051925197848714,h/&/m,_/_/h/@/m/_/_/,_/_/h/a/m/_/_/_/,61.554853586049575
hag,277.0,0.6155555555555555,0.05,h/&/g,_/_/h/@/g/_/_/,_/_/h/a/g/_/_/_/,16.64331697709324
hay,3077.0,6.837777777777778,0.18836972812752706,h/eI/,_/_/h/e/_/_/_/,_/_/h/a/y/_/_/_/,55.47071299343465
hat,16255.0,36.12222222222222,0.3306574099369644,h/&/t,_/_/h/@/t/_/_/,_/_/h/a/t/_/_/_/,127.49509794497983
haw,149.0,0.33111111111111113,0.05,h/O/,_/_/h/a/_/_/_/,_/_/h/a/w/_/_/_/,12.206555615733702
flub,56.0,0.12444444444444444,0.05,fl/@/b,_/f/l/^/b/_/_/,_/f/l/u/b/_/_/_/,7.483314773547883
