wordform,sum_freq,norm_freq,log_freq,sqrt_freq_raw,sqrt_freq,bcLambda_0.0,bcLambda_0.1,bcLambda_0.2,bcLambda_0.3,bcLambda_0.4,bcLambda_0.5,bcLambda_0.6,bcLambda_0.7,bcLambda_0.8,bcLambda_0.9,bcLambda_1.0,Moby_pron,Rep_P,Rep_O
all,1227134,2726.964444,0.723790101,1000,0.002528707,0.000452898,0.000622051,0.000903361,0.001330305,0.0019111,0.002609217,0.0033406,0.003995177,0.004473294,0.004716653,0.004718602,/O/l,_/_/_/a/l/_/_/,_/_/_/a/l/l/_/_/
alms,290,0.644444444,0.05,17.02938637,4.31E-05,0.000183156,0.000154924,0.000122768,9.02E-05,6.09E-05,3.78E-05,2.15E-05,1.13E-05,5.56E-06,2.55E-06,1.11E-06,/A/mz,_/_/_/a/m/z/_/,_/_/_/a/l/m/s/_/
am,116989,259.9755556,0.509078332,342.0365478,0.00086491,0.000376974,0.000449226,0.00054272,0.000647061,0.000742135,0.000804002,0.000814849,0.00077075,0.000682335,0.000568789,0.000449845,/&/m,_/_/_/@/m/_/_/,_/_/_/a/m/_/_/_/
amp,358,0.795555556,0.053549257,18.92088793,4.78E-05,0.00018996,0.000162545,0.000130557,9.74E-05,6.69E-05,4.22E-05,2.45E-05,1.32E-05,6.59E-06,3.09E-06,1.37E-06,/&/mp,_/_/_/@/m/p/_/,_/_/_/a/m/p/_/_/
an,1495549,3323.442222,0.741881508,1000,0.002528707,0.000459288,0.000638535,0.000942166,0.00141287,0.002069038,0.002880723,0.003761668,0.004588546,0.005240289,0.005635752,0.005750718,/A/n,_/_/_/a/n/_/_/,_/_/_/a/n/_/_/_/
and,12368293,27485.09556,0.9351388,1000,0.002528707,0.000527533,0.000836511,0.001468194,0.002680708,0.004826295,0.008288726,0.013364339,0.020134806,0.028403154,0.037732114,0.047558864,/&/nd,_/_/_/@/n/d/_/,_/_/_/a/n/d/_/_/
ankh,38,0.084444444,0.05,6.164414003,1.56E-05,0.000117506,8.91E-05,6.23E-05,3.98E-05,2.31E-05,1.22E-05,5.84E-06,2.57E-06,1.04E-06,3.97E-07,1.42E-07,/&/N/k,_/_/_/@/G/k/_/,_/_/_/a/n/k/h/_/
ant,1860,4.133333333,0.149651991,43.12771731,0.000109057,0.00024319,0.000228037,0.000204254,0.000172473,0.000135896,9.93E-05,6.72E-05,4.22E-05,2.48E-05,1.37E-05,7.15E-06,/&/nt,_/_/_/@/n/t/_/,_/_/_/a/n/t/_/_/
ape,1690,3.755555556,0.142658492,41.10960958,0.000103954,0.000240093,0.000223925,0.00019927,0.000167014,0.000130519,9.46E-05,6.34E-05,3.95E-05,2.29E-05,1.25E-05,6.49E-06,/eI/p,_/_/_/e/p/_/_/,_/_/_/a/p/e/_/_/
apse,78,0.173333333,0.05,8.831760866,2.23E-05,0.000140736,0.00011087,8.10E-05,5.42E-05,3.32E-05,1.85E-05,9.39E-06,4.39E-06,1.90E-06,7.72E-07,2.96E-07,/&/ps,_/_/_/@/p/s/_/,_/_/_/a/p/s/e/_/
