wordform,sum_freq,norm_freq,log_freq,sqrt_freq_raw,sqrt_freq,bcLambda_0.0,bcLambda_0.1,bcLambda_0.2,bcLambda_0.3,bcLambda_0.4,bcLambda_0.5,bcLambda_0.6,bcLambda_0.7,bcLambda_0.8,bcLambda_0.9,bcLambda_1.0,Moby_pron,Rep_P,Rep_O
done,145306,322.9022222,0.528841109,381.1902412,0.000963918,0.000383976,0.000463519,0.000569346,0.000691889,0.00080999,0.000896308,0.00092813,0.000897074,0.000811548,0.000691318,0.00055873,d/@/n,_/_/d/^/n/_/_/,_/_/d/o/n/e/_/_/
dong,60,0.133333333,0.05,7.745966692,1.96E-05,0.000132261,0.000102741,7.38E-05,4.86E-05,2.92E-05,1.59E-05,7.92E-06,3.62E-06,1.53E-06,6.07E-07,2.27E-07,d/A/N/,_/_/d/a/G/_/_/,_/_/d/o/n/g/_/_/
doom,2081,4.624444444,0.158010972,45.61797891,0.000115354,0.000246816,0.000232904,0.000210215,0.000179071,0.000142461,0.000105188,7.20E-05,4.57E-05,2.71E-05,1.51E-05,8.00E-06,d/u/m,_/_/d/u/m/_/_/,_/_/d/o/o/m/_/_/
dooms,78,0.173333333,0.05,8.831760866,2.23E-05,0.000140736,0.00011087,8.10E-05,5.42E-05,3.32E-05,1.85E-05,9.39E-06,4.39E-06,1.90E-06,7.72E-07,2.96E-07,d/u/mz,_/_/d/u/m/z/_/,_/_/d/o/o/m/s/_/
door,118911,264.2466667,0.510563499,344.834743,0.000871986,0.0003775,0.00045029,0.000544682,0.00065033,0.000747034,0.000810599,0.000822863,0.000779595,0.000691289,0.000577192,0.000457236,d/oU/r,_/_/d/o/r/_/_/,_/_/d/o/o/r/_/_/
dope,1616,3.591111111,0.139438895,40.19950248,0.000101653,0.000238647,0.000222017,0.000196975,0.000164517,0.000128078,9.24E-05,6.17E-05,3.83E-05,2.21E-05,1.20E-05,6.21E-06,d/oU/p,_/_/d/o/p/_/_/,_/_/d/o/p/e/_/_/
dorm,2104,4.675555556,0.158838597,45.86937976,0.00011599,0.000247171,0.000233384,0.000210806,0.000179729,0.000143119,0.000105781,7.24E-05,4.61E-05,2.74E-05,1.53E-05,8.09E-06,d/O/rm,_/_/d/o/r/m/_/,_/_/d/o/r/m/_/_/
dose,6250,13.88888889,0.247073913,79.0569415,0.000199912,0.000282341,0.000283584,0.000276258,0.000256929,0.000225064,0.000184021,0.000139899,9.90E-05,6.54E-05,4.07E-05,2.40E-05,d/oU/s,_/_/d/o/s/_/_/,_/_/d/o/s/e/_/_/
dot,4187,9.304444444,0.213402673,64.70703208,0.000163625,0.000269401,0.000264475,0.000250503,0.000225555,0.000190699,0.000150191,0.000109851,7.47E-05,4.75E-05,2.84E-05,1.61E-05,d/A/t,_/_/d/a/t/_/_/,_/_/d/o/t/_/_/_/
dote,83,0.184444444,0.05,9.110433579,2.30E-05,0.000142743,0.000112827,8.27E-05,5.56E-05,3.42E-05,1.91E-05,9.78E-06,4.60E-06,2.00E-06,8.18E-07,3.15E-07,d/oU/t,_/_/d/o/t/_/_/,_/_/d/o/t/e/_/_/
doth,315,0.7,0.05,17.74823935,4.49E-05,0.000185827,0.000157896,0.000125786,9.29E-05,6.32E-05,3.95E-05,2.27E-05,1.20E-05,5.94E-06,2.75E-06,1.21E-06,d/@/T/,_/_/d/^/T/_/_/,_/_/d/o/t/h/_/_/
dots,3085,6.855555556,0.188577008,55.54277631,0.000140451,0.000259534,0.000250411,0.000232208,0.000204044,0.000167959,0.000128586,9.13E-05,6.03E-05,3.72E-05,2.16E-05,1.19E-05,d/A/ts,_/_/d/a/t/s/_/,_/_/d/o/t/s/_/_/
doubt,23861,53.02444444,0.364985619,154.4700618,0.000390609,0.000325617,0.000353347,0.000379035,0.000393978,0.000389605,0.00036181,0.000313452,0.000253129,0.00019122,0.000135989,9.17E-05,d/AU/t,_/_/d/A/t/_/_/,_/_/d/o/u/b/t/_/
douche,101,0.224444444,0.05,10.04987562,2.54E-05,0.000149083,0.000119088,8.83E-05,6.02E-05,3.75E-05,2.13E-05,1.11E-05,5.31E-06,2.36E-06,9.79E-07,3.85E-07,d/u/S/,_/_/d/u/S/_/_/,_/_/d/o/u/c/h/e/
dough,7763,17.25111111,0.265701855,88.10788841,0.000222799,0.000289344,0.000294249,0.000291079,0.000275547,0.000246089,0.000205359,0.000159436,0.000115221,7.78E-05,4.95E-05,2.98E-05,d/oU/,_/_/d/o/_/_/_/,_/_/d/o/u/g/h/_/
dour,537,1.193333333,0.071856738,23.17326045,5.86E-05,0.000203058,0.000177674,0.000146505,0.000112549,7.99E-05,5.23E-05,3.15E-05,1.76E-05,9.13E-06,4.46E-06,2.06E-06,d/U/r,_/_/d/U/r/_/_/,_/_/d/o/u/r/_/_/
douse,261,0.58,0.05,16.15549442,4.09E-05,0.000179752,0.000151172,0.000118994,8.67E-05,5.81E-05,3.57E-05,2.02E-05,1.05E-05,5.10E-06,2.32E-06,1.00E-06,d/AU/s,_/_/d/A/s/_/_/,_/_/d/o/u/s/e/_/
dove,2480,5.511111111,0.171403713,49.79959839,0.000125929,0.000252483,0.000240619,0.0002198,0.000189834,0.000153327,0.000115046,8.00E-05,5.17E-05,3.12E-05,1.77E-05,9.53E-06,d/@/v,_/_/d/^/v/_/_/,_/_/d/o/v/e/_/_/
down,429864,955.2533333,0.627884307,655.6401452,0.001657922,0.000419013,0.000539885,0.000721379,0.000965708,0.00125379,0.001543331,0.001779932,0.00191698,0.001932729,0.001834961,0.00165292,d/AU/n,_/_/d/A/n/_/_/,_/_/d/o/w/n/_/_/
doze,374,0.831111111,0.055343197,19.33907961,4.89E-05,0.000191373,0.000164147,0.000132215,9.89E-05,6.82E-05,4.32E-05,2.52E-05,1.36E-05,6.82E-06,3.21E-06,1.43E-06,d/oU/z,_/_/d/o/z/_/_/,_/_/d/o/z/e/_/_/
drab,1013,2.251111111,0.107864073,31.82766093,8.05E-05,0.00022356,0.000202621,0.000174215,0.000140377,0.000105054,7.27E-05,4.65E-05,2.75E-05,1.52E-05,7.90E-06,3.89E-06,dr/&/b,_/d/r/@/b/_/_/,_/d/r/a/b/_/_/_/
draft,15414,34.25333333,0.325931534,124.1531313,0.000313947,0.000311501,0.000329557,0.000342442,0.0003431,0.000325998,0.000290337,0.00024099,0.000186366,0.00013479,9.18E-05,5.93E-05,dr/&/ft,_/d/r/@/f/t/_/,_/d/r/a/f/t/_/_/
drag,7819,17.37555556,0.266323545,88.42510956,0.000223601,0.000289576,0.000294607,0.000291582,0.000276185,0.000246818,0.000206107,0.000160128,0.000115804,7.83E-05,4.98E-05,3.01E-05,dr/&/g,_/d/r/@/g/_/_/,_/d/r/a/g/_/_/_/
drain,7963,17.69555556,0.267903044,89.2356431,0.000225651,0.000290166,0.000295516,0.000292861,0.000277811,0.000248677,0.000208018,0.000161899,0.000117295,7.94E-05,5.06E-05,3.06E-05,dr/eI/n,_/d/r/e/n/_/_/,_/d/r/a/i/n/_/_/
drake,1713,3.806666667,0.143636528,41.38840417,0.000104659,0.00024053,0.000224502,0.000199967,0.000167774,0.000131265,9.52E-05,6.39E-05,3.99E-05,2.32E-05,1.27E-05,6.58E-06,dr/eI/k,_/d/r/e/k/_/_/,_/d/r/a/k/e/_/_/
dram,196,0.435555556,0.05,14,3.54E-05,0.0001705,0.000141171,0.000109127,7.79E-05,5.11E-05,3.06E-05,1.69E-05,8.57E-06,4.04E-06,1.79E-06,7.50E-07,dr/&/m,_/d/r/@/m/_/_/,_/d/r/a/m/_/_/_/
drank,6630,14.73333333,0.252120976,81.42481194,0.000205899,0.000284248,0.000286465,0.00028023,0.000261878,0.000230609,0.000189604,0.000144969,0.000103152,6.86E-05,4.29E-05,2.55E-05,dr/&/N/k,_/d/r/@/G/k/_/,_/d/r/a/n/k/_/_/
drape,711,1.58,0.086711366,26.66458325,6.74E-05,0.000212125,0.000188511,0.000158327,0.000124205,9.03E-05,6.05E-05,3.74E-05,2.14E-05,1.14E-05,5.74E-06,2.73E-06,dr/eI/p,_/d/r/e/p/_/_/,_/d/r/a/p/e/_/_/
draught,158,0.351111111,0.05,12.56980509,3.18E-05,0.000163538,0.000133831,0.000102066,7.18E-05,4.63E-05,2.73E-05,1.47E-05,7.34E-06,3.39E-06,1.47E-06,6.04E-07,dr/&/ft,_/d/r/@/f/t/_/,_/d/r/a/u/g/h/t/
draw,22878,50.84,0.361209491,151.254752,0.000382479,0.000324258,0.000351011,0.000375371,0.000388785,0.000382987,0.000354229,0.000305621,0.000245778,0.00018489,0.000130935,8.80E-05,dr/O/,_/d/r/a/_/_/_/,_/d/r/a/w/_/_/_/
drawer,5028,11.17333333,0.228651206,70.9083916,0.000179307,0.000275313,0.000273111,0.000262015,0.000239424,0.00020572,0.000164811,0.000122688,8.50E-05,5.50E-05,3.35E-05,1.93E-05,dr/O/r,_/d/r/a/r/_/_/,_/d/r/a/w/e/r/_/
drawl,621,1.38,0.079329298,24.91987159,6.30E-05,0.000207753,0.000183247,0.000152543,0.000118462,8.51E-05,5.64E-05,3.44E-05,1.95E-05,1.03E-05,5.08E-06,2.38E-06,dr/O/l,_/d/r/a/l/_/_/,_/d/r/a/w/l/_/_/
drawn,20082,44.62666667,0.349529243,141.7109735,0.000358345,0.000320047,0.000343835,0.000364213,0.000373103,0.000363172,0.00033173,0.000282573,0.000224325,0.000166574,0.00011644,7.72E-05,dr/O/n,_/d/r/a/n/_/_/,_/d/r/a/w/n/_/_/
dray,102,0.226666667,0.05,10.09950494,2.55E-05,0.000149402,0.000119406,8.86E-05,6.05E-05,3.77E-05,2.15E-05,1.12E-05,5.35E-06,2.37E-06,9.88E-07,3.88E-07,dr/eI/,_/d/r/e/_/_/_/,_/d/r/a/y/_/_/_/
dread,2688,5.973333333,0.177678257,51.84592559,0.000131103,0.000255084,0.000244207,0.000224315,0.000194969,0.000158577,0.000119871,8.40E-05,5.47E-05,3.33E-05,1.90E-05,1.03E-05,dr/E/d,_/d/r/E/d/_/_/,_/d/r/e/a/d/_/_/
dream,33414,74.25333333,0.395306903,182.7949671,0.000462235,0.000336494,0.000372402,0.000409498,0.000437997,0.000446795,0.000428586,0.000383799,0.000320471,0.000250356,0.000184133,0.00012848,dr/i/m,_/d/r/i/m/_/_/,_/d/r/e/a/m/_/_/
dreams,17155,38.12222222,0.335458232,130.9770972,0.000331203,0.000314958,0.000335287,0.00035111,0.000354951,0.000340563,0.000306424,0.00025702,0.00020088,0.000146843,0.000101046,6.60E-05,dr/i/mz,_/d/r/i/m/z/_/,_/d/r/e/a/m/s/_/
dreamt,640,1.422222222,0.080938106,25.29822128,6.40E-05,0.000208726,0.000184413,0.000153817,0.000119721,8.62E-05,5.73E-05,3.51E-05,1.99E-05,1.05E-05,5.22E-06,2.46E-06,dr/E/mt,_/d/r/E/m/t/_/,_/d/r/e/a/m/t/_/
drear,17,0.037777778,0.05,4.123105626,1.04E-05,9.15E-05,6.65E-05,4.44E-05,2.70E-05,1.48E-05,7.36E-06,3.32E-06,1.37E-06,5.20E-07,1.84E-07,6.15E-08,dr/i/r,_/d/r/i/r/_/_/,_/d/r/e/a/r/_/_/
dreck,48,0.106666667,0.05,6.92820323,1.75E-05,0.000125052,9.60E-05,6.81E-05,4.42E-05,2.61E-05,1.40E-05,6.83E-06,3.06E-06,1.27E-06,4.93E-07,1.81E-07,dr/E/k,_/d/r/E/k/_/_/,_/d/r/e/c/k/_/_/
dredge,717,1.593333333,0.087182955,26.77685568,6.77E-05,0.000212396,0.00018884,0.000158691,0.000124569,9.06E-05,6.08E-05,3.76E-05,2.16E-05,1.15E-05,5.79E-06,2.75E-06,dr/E/dZ/,_/d/r/E/J/_/_/,_/d/r/e/d/g/e/_/
dregs,287,0.637777778,0.05,16.94107435,4.28E-05,0.00018282,0.000154552,0.000122392,8.98E-05,6.06E-05,3.76E-05,2.14E-05,1.13E-05,5.51E-06,2.53E-06,1.10E-06,dr/E/gz,_/d/r/E/g/z/_/,_/d/r/e/g/s/_/_/
drench,60,0.133333333,0.05,7.745966692,1.96E-05,0.000132261,0.000102741,7.38E-05,4.86E-05,2.92E-05,1.59E-05,7.92E-06,3.62E-06,1.53E-06,6.07E-07,2.27E-07,dr/E/n/tS/,_/d/r/E/n/C/_/,_/d/r/e/n/c/h/_/
dress,27549,61.22,0.377907374,165.9789143,0.000419712,0.000330259,0.000361401,0.000391786,0.000412223,0.000413076,0.000388942,0.000341749,0.000279944,0.000214527,0.000154769,0.000105928,dr/E/s,_/d/r/E/s/_/_/,_/d/r/e/s/s/_/_/
drew,16085,35.74444444,0.329721604,126.8266534,0.000320707,0.000312878,0.000331831,0.000345871,0.000347773,0.000331723,0.00029664,0.00024725,0.000192016,0.000139466,9.54E-05,6.18E-05,dr/u/,_/d/r/u/_/_/_/,_/d/r/e/w/_/_/_/
dried,10870,24.15555556,0.29505604,104.2592922,0.000263641,0.000300219,0.000311275,0.000315408,0.000306967,0.000282575,0.000243436,0.000195288,0.000145897,0.000101917,6.70E-05,4.18E-05,dr/aI/d,_/d/r/Y/d/_/_/,_/d/r/i/e/d/_/_/
drift,4481,9.957777778,0.219026826,66.94027188,0.000169272,0.000271593,0.000267658,0.000254722,0.000230608,0.00019614,0.000155456,0.000114447,7.84E-05,5.01E-05,3.02E-05,1.72E-05,dr/I/ft,_/d/r/I/f/t/_/,_/d/r/i/f/t/_/_/
drill,6020,13.37777778,0.243878108,77.58865897,0.000196199,0.00028113,0.000281763,0.000273759,0.00025383,0.000221609,0.00018056,0.000136771,9.64E-05,6.35E-05,3.94E-05,2.31E-05,dr/I/l,_/d/r/I/l/_/_/,_/d/r/i/l/l/_/_/
drink,28688,63.75111111,0.3815554,169.3753229,0.0004283,0.000331568,0.000363693,0.000395447,0.00041751,0.000419939,0.000396949,0.000350176,0.000288002,0.000221596,0.000160517,0.000110308,dr/I/N/k,_/d/r/I/G/k/_/,_/d/r/i/n/k/_/_/
drip,1881,4.18,0.150479942,43.37049688,0.000109671,0.000243552,0.000228521,0.000204844,0.000173123,0.000136539,9.99E-05,6.77E-05,4.26E-05,2.50E-05,1.38E-05,7.23E-06,dr/I/p,_/d/r/I/p/_/_/,_/d/r/i/p/_/_/_/
drive,55738,123.8622222,0.441631921,236.0889663,0.000597,0.000353023,0.000402613,0.0004599,0.000514006,0.000549872,0.000554228,0.000521987,0.0004586,0.000377026,0.00029184,0.000214321,dr/aI/v,_/d/r/Y/v/_/_/,_/d/r/i/v/e/_/_/
drogue,31,0.068888889,0.05,5.567764363,1.41E-05,0.000110929,8.32E-05,5.75E-05,3.63E-05,2.08E-05,1.08E-05,5.08E-06,2.20E-06,8.79E-07,3.28E-07,1.15E-07,dr/oU/g,_/d/r/o/g/_/_/,_/d/r/o/g/u/e/_/
droll,257,0.571111111,0.05,16.03121954,4.05E-05,0.000179253,0.000150625,0.000118447,8.62E-05,5.77E-05,3.54E-05,2.00E-05,1.04E-05,5.04E-06,2.29E-06,9.84E-07,dr/oU/l,_/d/r/o/l/_/_/,_/d/r/o/l/l/_/_/
drone,1419,3.153333333,0.130270805,37.6696164,9.53E-05,0.000234448,0.000216527,0.000190424,0.000157454,0.000121231,8.64E-05,5.70E-05,3.49E-05,1.99E-05,1.07E-05,5.45E-06,dr/oU/n,_/d/r/o/n/_/_/,_/d/r/o/n/e/_/_/
drool,432,0.96,0.061566351,20.78460969,5.26E-05,0.00019603,0.000169479,0.000137786,0.000104166,7.27E-05,4.66E-05,2.76E-05,1.51E-05,7.66E-06,3.66E-06,1.66E-06,dr/u/l,_/d/r/u/l/_/_/,_/d/r/o/o/l/_/_/
droop,290,0.644444444,0.05,17.02938637,4.31E-05,0.000183156,0.000154924,0.000122768,9.02E-05,6.09E-05,3.78E-05,2.15E-05,1.13E-05,5.56E-06,2.55E-06,1.11E-06,dr/u/p,_/d/r/u/p/_/_/,_/d/r/o/o/p/_/_/
drop,28745,63.87777778,0.381734195,169.5435047,0.000428726,0.000331632,0.000363805,0.000395628,0.000417771,0.000420278,0.000397346,0.000350594,0.000288403,0.000221948,0.000160804,0.000110527,dr/A/p,_/d/r/a/p/_/_/,_/d/r/o/p/_/_/_/
dross,68,0.151111111,0.05,8.246211251,2.09E-05,0.000136304,0.000106593,7.72E-05,5.12E-05,3.10E-05,1.71E-05,8.59E-06,3.97E-06,1.70E-06,6.81E-07,2.58E-07,dr/O/s,_/d/r/a/s/_/_/,_/d/r/o/s/s/_/_/
drought,4402,9.782222222,0.21754922,66.34756966,0.000167774,0.000271018,0.000266822,0.000253611,0.000229274,0.0001947,0.000154059,0.000113224,7.74E-05,4.94E-05,2.97E-05,1.69E-05,dr/AU/t,_/d/r/A/t/_/_/,_/d/r/o/u/g/h/t/
drove,20613,45.80666667,0.351865234,143.5722814,0.000363052,0.00032089,0.000345264,0.000366424,0.000376193,0.000367057,0.000336118,0.000287044,0.000228465,0.00017009,0.000119207,7.93E-05,dr/oU/v,_/d/r/o/v/_/_/,_/d/r/o/v/e/_/_/
drown,1885,4.188888889,0.150636801,43.41658669,0.000109788,0.000243621,0.000228613,0.000204956,0.000173246,0.000136661,1.00E-04,6.78E-05,4.26E-05,2.50E-05,1.38E-05,7.24E-06,dr/AU/n,_/d/r/A/n/_/_/,_/d/r/o/w/n/_/_/
drowse,16,0.035555556,0.05,4,1.01E-05,8.96E-05,6.49E-05,4.32E-05,2.61E-05,1.43E-05,7.07E-06,3.18E-06,1.30E-06,4.93E-07,1.74E-07,5.77E-08,dr/AU/z,_/d/r/A/z/_/_/,_/d/r/o/w/s/e/_/
drudge,131,0.291111111,0.05,11.44552314,2.89E-05,0.000157485,0.000127577,9.62E-05,6.68E-05,4.24E-05,2.46E-05,1.31E-05,6.41E-06,2.91E-06,1.24E-06,5.00E-07,dr/@/dZ/,_/d/r/^/J/_/_/,_/d/r/u/d/g/e/_/
drug,58449,129.8866667,0.445942919,241.7622799,0.000611346,0.000354558,0.000405497,0.000464845,0.000521671,0.000560552,0.000567603,0.000537096,0.00047411,0.000391629,0.000304586,0.000224746,dr/@/g,_/d/r/^/g/_/_/,_/d/r/u/g/_/_/_/
drum,4557,10.12666667,0.220426146,67.50555533,0.000170702,0.000272136,0.000268451,0.000255777,0.000231877,0.000197512,0.000156789,0.000115615,7.93E-05,5.08E-05,3.06E-05,1.75E-05,dr/@/m,_/d/r/^/m/_/_/,_/d/r/u/m/_/_/_/
drunk,10685,23.74444444,0.293548521,103.3682737,0.000261388,0.000299664,0.000310393,0.000314127,0.000305287,0.000280593,0.000241336,0.000193279,0.000144152,0.000100526,6.60E-05,4.11E-05,dr/@/N/k,_/d/r/^/G/k/_/,_/d/r/u/n/k/_/_/
dry,31762,70.58222222,0.390731272,178.2189664,0.000450663,0.000334856,0.000369491,0.000404778,0.000431081,0.000437683,0.000417798,0.000372276,0.000309289,0.000240402,0.000175918,0.000122128,dr/aI/,_/d/r/Y/_/_/_/,_/d/r/y/_/_/_/_/
dub,313,0.695555556,0.05,17.69180601,4.47E-05,0.000185621,0.000157667,0.000125552,9.27E-05,6.30E-05,3.94E-05,2.26E-05,1.20E-05,5.91E-06,2.74E-06,1.20E-06,d/@/b,_/_/d/^/b/_/_/,_/_/d/u/b/_/_/_/
duck,6583,14.62888889,0.251511615,81.13568882,0.000205168,0.000284018,0.000286117,0.000279748,0.000261277,0.000229933,0.000188922,0.000144349,0.000102638,6.82E-05,4.27E-05,2.53E-05,d/@/k,_/_/d/^/k/_/_/,_/_/d/u/c/k/_/_/
duct,1815,4.033333333,0.147852168,42.60281681,0.00010773,0.000242398,0.000226982,0.000202972,0.000171063,0.000134502,9.81E-05,6.62E-05,4.15E-05,2.43E-05,1.34E-05,6.98E-06,d/@/kt,_/_/d/^/k/t/_/,_/_/d/u/c/t/_/_/
dud,304,0.675555556,0.05,17.43559577,4.41E-05,0.000184679,0.000156616,0.000124483,9.17E-05,6.22E-05,3.87E-05,2.22E-05,1.17E-05,5.77E-06,2.66E-06,1.17E-06,d/@/d,_/_/d/^/d/_/_/,_/_/d/u/d/_/_/_/
dude,3762,8.36,0.20460793,61.3351449,0.000155099,0.000265943,0.000259497,0.000243964,0.000217792,0.000182412,0.000142242,0.000102972,6.93E-05,4.36E-05,2.58E-05,1.45E-05,d/u/d,_/_/d/u/d/_/_/,_/_/d/u/d/e/_/_/
duds,382,0.848888889,0.056227146,19.54482029,4.94E-05,0.000192056,0.000164925,0.000133023,9.97E-05,6.88E-05,4.37E-05,2.55E-05,1.38E-05,6.94E-06,3.28E-06,1.47E-06,d/@/dz,_/_/d/^/d/z/_/,_/_/d/u/d/s/_/_/
due,39829,88.50888889,0.411178036,199.5720421,0.000504659,0.000342167,0.000382597,0.000426218,0.000462781,0.000479822,0.000468139,0.000426531,0.000362421,0.00028813,0.000215665,0.000153148,d/u/,_/_/d/u/_/_/_/,_/_/d/u/e/_/_/_/
dug,5750,12.77777778,0.239978265,75.82875444,0.000191749,0.000279648,0.000279543,0.000270726,0.000250084,0.00021745,0.000176411,0.000133036,9.33E-05,6.12E-05,3.78E-05,2.21E-05,d/@/g,_/_/d/^/g/_/_/,_/_/d/u/g/_/_/_/
duke,11677,25.94888889,0.301356206,108.0601684,0.000273252,0.000302532,0.000314972,0.000320798,0.00031407,0.000290991,0.000252397,0.000203895,0.000153408,0.00010793,7.15E-05,4.49E-05,d/u/k,_/_/d/u/k/_/_/,_/_/d/u/k/e/_/_/
dull,5677,12.61555556,0.238894676,75.34586916,0.000190528,0.000279235,0.000278927,0.000269886,0.000249051,0.000216306,0.000175272,0.000132015,9.25E-05,6.06E-05,3.73E-05,2.18E-05,d/@/l,_/_/d/^/l/_/_/,_/_/d/u/l/l/_/_/
dumb,5571,12.38,0.237298038,74.63913183,0.00018874,0.000278626,0.00027802,0.000268651,0.000247533,0.000214628,0.000173606,0.000130522,9.13E-05,5.97E-05,3.67E-05,2.14E-05,d/@/m,_/_/d/^/m/_/_/,_/_/d/u/m/b/_/_/
dump,4955,11.01111111,0.227423837,70.39176088,0.000178,0.000274841,0.000272415,0.00026108,0.000238287,0.000204479,0.000163593,0.00012161,8.41E-05,5.43E-05,3.30E-05,1.90E-05,d/@/mp,_/_/d/^/m/p/_/,_/_/d/u/m/p/_/_/
dumps,1228,2.728888889,0.120408313,35.04283094,8.86E-05,0.000229778,0.000210505,0.000183338,0.000149917,0.000114024,8.03E-05,5.22E-05,3.15E-05,1.78E-05,9.40E-06,4.72E-06,d/@/mps,_/_/d/^/m/p/s/,_/_/d/u/m/p/s/_/
dun,404,0.897777778,0.058614869,20.09975124,5.08E-05,0.000193865,0.000166991,0.000135177,0.000101692,7.06E-05,4.50E-05,2.64E-05,1.44E-05,7.26E-06,3.45E-06,1.55E-06,d/@/n,_/_/d/^/n/_/_/,_/_/d/u/n/_/_/_/
dunce,117,0.26,0.05,10.81665383,2.74E-05,0.000153834,0.000123861,9.27E-05,6.39E-05,4.02E-05,2.31E-05,1.22E-05,5.91E-06,2.66E-06,1.12E-06,4.46E-07,d/@/ns,_/_/d/^/n/s/_/,_/_/d/u/n/c/e/_/
dune,905,2.011111111,0.100848071,30.08321791,7.61E-05,0.000219918,0.000198073,0.000169033,0.000135039,0.000100112,6.86E-05,4.34E-05,2.54E-05,1.39E-05,7.14E-06,3.48E-06,d/u/n,_/_/d/u/n/_/_/,_/_/d/u/n/e/_/_/
dung,883,1.962222222,0.099350466,29.71531592,7.51E-05,0.000219123,0.000197087,0.000167917,0.000133898,9.91E-05,6.77E-05,4.27E-05,2.50E-05,1.36E-05,6.98E-06,3.39E-06,d/@/N/,_/_/d/^/G/_/_/,_/_/d/u/n/g/_/_/
dunk,1030,2.288888889,0.108921031,32.09361307,8.12E-05,0.000224098,0.000203297,0.00017499,0.00014118,0.000105803,7.33E-05,4.69E-05,2.79E-05,1.54E-05,8.02E-06,3.96E-06,d/@/N/k,_/_/d/^/G/k/_/,_/_/d/u/n/k/_/_/
dupe,189,0.42,0.05,13.74772708,3.48E-05,0.000169325,0.000139921,0.000107914,7.69E-05,5.02E-05,3.01E-05,1.65E-05,8.35E-06,3.93E-06,1.73E-06,7.23E-07,d/u/p,_/_/d/u/p/_/_/,_/_/d/u/p/e/_/_/
durn,36,0.08,0.05,6,1.52E-05,0.000115759,8.75E-05,6.10E-05,3.89E-05,2.25E-05,1.18E-05,5.63E-06,2.47E-06,9.98E-07,3.77E-07,1.35E-07,d/@/rn,_/_/d/^/r/n/_/,_/_/d/u/r/n/_/_/
dusk,4030,8.955555556,0.210251409,63.48228099,0.000160528,0.000268166,0.000262691,0.000248152,0.000222755,0.000187699,0.000147304,0.000107344,7.27E-05,4.60E-05,2.74E-05,1.55E-05,d/@/sk,_/_/d/^/s/k/_/,_/_/d/u/s/k/_/_/
dust,18588,41.30666667,0.342617537,136.3378157,0.000344758,0.00031755,0.000339624,0.000357731,0.000364088,0.000351899,0.000319062,0.000269732,0.000212497,0.000156581,0.000108612,7.15E-05,d/@/st,_/_/d/^/s/t/_/,_/_/d/u/s/t/_/_/
dutch,7752,17.22666667,0.265579239,88.04544281,0.000222641,0.000289298,0.000294179,0.00029098,0.000275421,0.000245945,0.000205212,0.0001593,0.000115107,7.78E-05,4.94E-05,2.98E-05,d/@/tS/,_/_/d/^/C/_/_/,_/_/d/u/t/c/h/_/
dwarf,2554,5.675555556,0.173685636,50.53711507,0.000127794,0.000253432,0.000241925,0.00022144,0.000191694,0.000155224,0.000116785,8.15E-05,5.28E-05,3.20E-05,1.82E-05,9.82E-06,dw/O/rf,_/d/w/o/r/f/_/,_/d/w/a/r/f/_/_/
dwarves,272,0.604444444,0.05,16.4924225,4.17E-05,0.000181086,0.000152637,0.000120463,8.81E-05,5.92E-05,3.65E-05,2.07E-05,1.08E-05,5.28E-06,2.41E-06,1.04E-06,dw/oU/rvz,_/d/w/o/r/v/z/,_/d/w/a/r/v/e/s/
dwell,1836,4.08,0.148696494,42.84857057,0.000108351,0.00024277,0.000227477,0.000203573,0.000171724,0.000135155,9.87E-05,6.67E-05,4.19E-05,2.45E-05,1.35E-05,7.06E-06,dw/E/l,_/d/w/E/l/_/_/,_/d/w/e/l/l/_/_/
dwelt,283,0.628888889,0.05,16.82260384,4.25E-05,0.000182366,0.00015405,0.000121885,8.94E-05,6.03E-05,3.73E-05,2.12E-05,1.11E-05,5.45E-06,2.50E-06,1.08E-06,dw/E/lt,_/d/w/E/l/t/_/,_/d/w/e/l/t/_/_/
dye,1473,3.273333333,0.132876652,38.37968212,9.71E-05,0.000235654,0.000218097,0.000192289,0.000159455,0.000123162,8.81E-05,5.83E-05,3.58E-05,2.05E-05,1.11E-05,5.66E-06,d/aI/,_/_/d/Y/_/_/_/,_/_/d/y/e/_/_/_/
each,287102,638.0044444,0.591004442,535.8189993,0.001354929,0.000405974,0.000510494,0.000660917,0.000853278,0.001065809,0.001260849,0.001396937,0.00144509,0.001399362,0.001276027,0.001103968,/i/tS/,_/_/_/i/C/_/_/,_/_/_/e/a/c/h/_/
ear,17957,39.90444444,0.339533847,134.0037313,0.000338856,0.000316434,0.000337753,0.000354868,0.000360127,0.000346975,0.00031356,0.000264185,0.000207416,0.000152312,0.000105288,6.90E-05,/i/r,_/_/_/i/r/_/_/,_/_/_/e/a/r/_/_/
eared,34,0.075555556,0.05,5.830951895,1.47E-05,0.000113913,8.59E-05,5.97E-05,3.78E-05,2.18E-05,1.14E-05,5.42E-06,2.36E-06,9.51E-07,3.58E-07,1.27E-07,/i/rd,_/_/_/i/r/d/_/,_/_/_/e/a/r/e/d/
earl,5861,13.02444444,0.241601706,76.55716818,0.000193591,0.000280265,0.000280467,0.000271986,0.000251639,0.000219174,0.000178128,0.00013458,9.46E-05,6.22E-05,3.84E-05,2.25E-05,/@/rl,_/_/_/^/r/l/_/,_/_/_/e/a/r/l/_/
