wordform,sum_freq,norm_freq,log_freq,sqrt_freq_raw,sqrt_freq,Moby_pron,Rep_P,Rep_O
fawn,527,1.1711111109999999,0.07092507998461123,22.956480566497994,5.8155840982447406e-05,f/O/n,_/_/f/a/n/_/_/,_/_/f/a/w/n/_/_/
scold,405,0.9,0.05872193497754002,20.12461179749811,5.0981844544445505e-05,sk/oU/ld,_/s/k/o/l/d/_/,_/s/c/o/l/d/_/_/
crotch,1181,2.624444444,0.11780920421353289,34.36568055487916,8.705886112698755e-05,kr/A/tS/,_/k/r/a/C/_/_/,_/c/r/o/t/c/h/_/
sooth,33,0.073333333,0.05,5.744562646538029,1.4552747788061164e-05,s/u/T/,_/_/s/u/T/_/_/,_/_/s/o/o/t/h/_/
crouch,1047,2.326666667,0.10996591714430848,32.357379374726875,8.197121523372967e-05,kr/AU/tS/,_/k/r/a/w/C/_/,_/c/r/o/u/c/h/_/
stern,2296,5.102222222,0.16547006469557568,47.916594202843754,0.00012138750209593396,st/@/rn,_/s/t/^/r/n/_/,_/s/t/e/r/n/_/_/
copse,145,0.322222222,0.05,12.041594578792296,3.050507056039446e-05,k/A/ps,_/_/k/a/p/s/_/,_/_/c/o/p/s/e/_/
wand,1008,2.24,0.10755086495737673,31.74901573277509,8.043004261720573e-05,w/A/nd,_/_/w/a/n/d/_/,_/_/w/a/n/d/_/_/
want,376106,835.7911111000001,0.6156753787926212,613.2748160490531,0.0015536141342474598,w/A/nt,_/_/w/a/n/t/_/,_/_/w/a/n/t/_/_/
krait,25,0.055555556,0.05,5.0,1.266654111330077e-05,kr/aI/t,_/k/r/a/j/t/_/,_/k/r/a/i/t/_/_/
wrong,76584,170.1866667,0.4705003841435386,276.73814337745347,0.0007010630141418076,r/O/N/,_/_/r/a/G/_/_/,_/w/r/o/n/g/_/_/
fir,1334,2.9644444439999997,0.1260124501779525,36.52396473549935,9.252646018859e-05,f/@/r,_/_/f/^/r/_/_/,_/_/f/i/r/_/_/_/
fit,33963,75.47333333,0.3967782033535438,184.29053149850102,0.0004668647188035628,f/I/t,_/_/f/I/t/_/_/,_/_/f/i/t/_/_/_/
fix,14915,33.14444444,0.32300755940998377,122.12698309546502,0.0003093852904844192,f/I/ks,_/_/f/I/k/s/_/,_/_/f/i/x/_/_/_/
fixed,14308,31.79555556,0.3193199625444117,119.61605243444544,0.0003030243291943288,f/I/kst,_/_/f/I/k/s/t/,_/_/f/i/x/e/d/_/
fib,125,0.27777777800000003,0.05,11.180339887498949,2.832324696913639e-05,f/I/b,_/_/f/I/b/_/_/,_/_/f/i/b/_/_/_/
fig,11479,25.50888889,0.2998501338914929,107.14009520249644,0.00027141888415307594,f/I/g,_/_/f/I/g/_/_/,_/_/f/i/g/_/_/_/
fie,60,0.133333333,0.05,7.745966692414834,1.9622921114346177e-05,f/aI/,_/_/f/a/j/_/_/,_/_/f/i/e/_/_/_/
finned,64,0.14222222199999998,0.05,8.0,2.0266465781281233e-05,f/I/nd,_/_/f/I/n/d/_/,_/_/f/i/n/n/e/d/
smirk,789,1.753333333,0.0926601820640951,28.089143810376278,7.11584589823098e-05,sm/@/rk,_/s/m/^/r/k/_/,_/s/m/i/r/k/_/_/
branch,13491,29.98,0.31410961331427517,116.15076409563564,0.00029424568575173355,br/&/n/tS/,_/b/r/@/n/C/_/,_/b/r/a/n/c/h/_/
friend,71975,159.9444444,0.46485600027123225,268.28156850592626,0.0006796399034842265,fr/E/nd,_/f/r/E/n/d/_/,_/f/r/i/e/n/d/_/
pomp,400,0.8888888890000001,0.0581853468737913,20.0,5.066616445320308e-05,p/A/mp,_/_/p/a/m/p/_/,_/_/p/o/m/p/_/_/
mouth,42355,94.12222222,0.4167427643842598,205.80330415229002,0.0005213632026596249,m/AU/T/,_/_/m/a/w/T/_/,_/_/m/o/u/t/h/_/
mouths,3717,8.26,0.2036252350265336,60.96720429870473,0.0001544487199625102,m/AU/D/z,_/_/m/a/w/D/z/,_/_/m/o/u/t/h/s/
tech,13689,30.42,0.3153998502288277,117.0,0.000296397062051238,t/E/k,_/_/t/E/k/_/_/,_/_/t/e/c/h/_/_/
scream,6791,15.09111111,0.2541781213663131,82.40752392834042,0.00020876365797672822,skr/i/m,s/k/r/i/m/_/_/,s/c/r/e/a/m/_/_/
bliss,1927,4.282222222,0.15226778499022275,43.89760813529594,0.00011120617164425848,bl/I/s,_/b/l/I/s/_/_/,_/b/l/i/s/s/_/_/
rich,35502,78.89333333,0.400780832668516,188.41974418834135,0.0004773252872638479,r/I/tS/,_/_/r/I/C/_/_/,_/_/r/i/c/h/_/_/
rice,20349,45.22,0.35071129204537077,142.64992113562488,0.000361376218174701,r/aI/s,_/_/r/a/j/s/_/,_/_/r/i/c/e/_/_/
plate,19397,43.10444444,0.346424891528788,139.27311298308803,0.0003528217223155336,pl/eI/t,_/p/l/e/j/t/_/,_/p/l/a/t/e/_/_/
patch,7372,16.38222222,0.26123925363809397,85.86035173466273,0.00021751073504991413,p/&/tS/,_/_/p/@/C/_/_/,_/_/p/a/t/c/h/_/
