wordform,sum_freq,norm_freq,log_freq,sqrt_freq_raw,sqrt_freq,Moby_pron,Rep_P,Rep_O
tech,13689,30.42,0.3153998502288277,117.0,0.0002531017868444021,t/E/k,_/_/t/E/k/_/_/,_/_/t/e/c/h/_/_/
scream,3748,8.328888889,0.2043033321715333,61.220911460055866,0.00013243694087848782,skr/i/m,s/k/r/i/m/_/_/,s/c/r/e/a/m/_/_/
scream,3043,6.762222222,0.18748351254815937,55.163393659201205,0.00011933293592773493,skr/i/m,s/k/r/i/m/_/_/,s/c/r/e/a/m/_/_/
bliss,1927,4.282222222,0.15226778499022275,43.89760813529594,9.496207741229714e-05,bl/I/s,_/b/l/I/s/_/_/,_/b/l/i/s/s/_/_/
rich,35502,78.89333333,0.400780832668516,188.41974418834135,0.0004076014865883278,r/I/tS/,_/_/r/I/C/_/_/,_/_/r/i/c/h/_/_/
rice,20349,45.22,0.35071129204537077,142.64992113562488,0.0003085893156635872,r/aI/s,_/_/r/a/j/s/_/,_/_/r/i/c/e/_/_/
plate,19371,43.04666667,0.3463049616967119,139.17973990491575,0.00030108240053396,pl/eI/t,_/p/l/e/j/t/_/,_/p/l/a/t/e/_/_/
plate,26,0.057777777999999995,0.05,5.0990195135927845,1.1030520940553914e-05,pl/eI/t,_/p/l/e/j/t/_/,_/p/l/a/t/e/_/_/
patch,6761,15.02444444,0.2537982923612826,82.22530024268686,0.00017787496081402988,p/&/tS/,_/_/p/@/C/_/_/,_/_/p/a/t/c/h/_/
patch,611,1.3577777780000002,0.07847105560652841,24.71841418861655,5.347243418033223e-05,p/&/tS/,_/_/p/@/C/_/_/,_/_/p/a/t/c/h/_/
loth,89,0.19777777800000002,0.05,9.433981132056603,2.0408183603247025e-05,l/oU/T/,_/_/l/o/T/_/_/,_/_/l/o/t/h/_/_/
ire,729,1.62,0.08811890194758697,27.0,5.8408104656400496e-05,/aI/r,_/_/_/a/j/r/_/,_/_/_/i/r/e/_/_/
veep,118,0.262222222,0.05,10.862780491200215,2.3499052584797326e-05,v/i/p,_/_/v/i/p/_/_/,_/_/v/e/e/p/_/_/
veer,661,1.468888889,0.08268395506338913,25.709920264364882,5.5617322722545776e-05,v/i/r,_/_/v/i/r/_/_/,_/_/v/e/e/r/_/_/
basque,875,1.9444444440000002,0.09879974635764341,29.58039891549808,6.399018650498102e-05,b/&/sk,_/_/b/@/s/k/_/,_/_/b/a/s/q/u/e/
basque,35,0.07777777799999999,0.05,5.916079783099616,1.2798037300996203e-05,b/&/sk,_/_/b/@/s/k/_/,_/_/b/a/s/q/u/e/
blonde,3350,7.444444444,0.19519047176918997,57.879184513951124,0.0001252079061673323,bl/A/nd,_/b/l/a/n/d/_/,_/b/l/o/n/d/e/_/
blonde,690,1.533333333,0.08504139538578243,26.267851073127396,5.682427387325803e-05,bl/A/nd,_/b/l/a/n/d/_/,_/b/l/o/n/d/e/_/
fro,573,1.273333333,0.07513427077708341,23.93741840717165,5.1782934797412193e-05,fr/oU/,_/f/r/o/_/_/_/,_/f/r/o/_/_/_/_/
muck,1015,2.255555556,0.10798905675685877,31.85906464414798,6.891954007371941e-05,m/@/k,_/_/m/^/k/_/_/,_/_/m/u/c/k/_/_/
much,280652,623.6711111000001,0.5889289338266752,529.7659860730962,0.001146023228072541,m/@/tS/,_/_/m/^/C/_/_/,_/_/m/u/c/h/_/_/
much,144403,320.8955556,0.5282725515300983,380.003947347919,0.0008220485306126873,m/@/tS/,_/_/m/^/C/_/_/,_/_/m/u/c/h/_/_/
